rectype,qno,final,samptyp,lifecyc,hhsize,hhnumwkr,hhnumveh,veh_av,veh_wkr,ldrvnum,hinccat1,hinccat2,hinccat3,hmcnty,hmcity,hmzip,hmtaz,hmtract,region,areacty2,hh_uga,chmarea,chmarea2,chmtenur,chmtype,chmage,chmyear,prevcnty,prevcity,prevzip,prevtaz,phmarea,phmarea2,phmtenur,phmtype,phmage,phmyear,pmove3,hhvtype1,hhvehyr1,hhvtype2,hhvehyr2,hhvtype3,hhvehyr3,hhvtype4,hhvehyr4,hhvtype5,hhvehyr5,hhvtype6,hhvehyr6,hhvtype7,hhvehyr7,hhvtype8,hhvehyr8,hhvtype9,hhvehyr9,hhvtyp10,hhvehy10,diary,gps,tyear,month1,month2,daymo1,daymo2,travdate,expfac2
1,2001,1,1,4,1,1,1,1,4,1,5,5,2,1,RENTON,98055,391,29303,3,2,1,2,1,1,1,7,2,1,SHORELINE,98133,221,2,2,2,5,98,3,1,1,2001, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,4,5,2,324.86
1,2006,1,1,7,3,1,1,0,4,2,18,7,3,1,SEATTLE,98178,334,26001,3,1,1,98,1,1,1,7,7, , , , , , , , , , , ,1,2002, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,356.76
1,2015,1,1,2,3,1,1,1,4,1,6,6,2,1,WOODINVILLE,98072,510,32307,2,2,2,1,1,1,1,7,4, , , , ,1,1,1,1,7,3,3,2,2000, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,411.65
1,2016,1,1,4,1,1,1,1,4,1,11,11,4,1,SEATTLE,98103,74,5400,1,1,1,1,2,1,1,3,4,1,SEATTLE,98105,70,1,2,2,5,98,3,16,1,2005, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,98.36
1,2033,1,1,7,2,2,2,1,3,2,9,9,3,4,LYNNWOOD,98036,597,51905,6,0,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1990,1,1995, , , , , , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,218.57
1,2058,1,1,7,2,2,2,1,3,2,2,2,1,3,EDGEWOOD,98372,764,70701,5,0,1,3,4,1,1,7,6, , , , , , , , , , , ,1,1989,4,2000, , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,416.17
1,2062,1,1,4,1,0,0,1,1,0,3,3,1,1,SEATTLE,98121,120,8001,1,1,1,1,3,2,5,2,2, , , , ,2,2,2,1,7,5,1, , , , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,223.48
1,2065,1,1,7,2,2,2,1,3,2,8,8,3,4,EVERETT,98201,531,40100,6,0,1,1,1,1,1,7,7, , , , , , , , , , , ,1,1995,3,2001, , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,205.05
1,2067,1,1,8,2,1,2,1,4,2,3,3,1,4,BOTHELL,98021,608,51911,6,0,1,1,1,1,1,7,7, , , , , , , , , , , ,1,2000,1,1997, , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,267.69
1,2070,1,1,7,3,3,4,1,3,3,16,11,4,1,SAMMAMISH,98074,487,32203,2,2,1,98,1,1,1,6,6, , , , , , , , , , , ,3,2000,1,1999,1,1994,3,2003, , , , , , , , , , , , ,1, ,2006,4,4,5,6,3,442.41
1,2071,1,1,2,4,2,3,1,3,2,12,11,4,1,SEATTLE,98118,185,10200,1,1,1,2,1,1,1,7,7, , , , , , , , , , , ,2,2004,1,1998,1,1995, , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,171.91
1,2089,1,1,2,4,2,4,1,3,3,8,8,3,2,PORT ORCHARD,98367,938,92902,4,0,2,3,4,1,1,7,6, , , , , , , , , , , ,1,1988,1,1993,2,2003,3,2005, , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,235.57
1,2109,1,1,3,1,1,1,1,4,1,4,4,2,1,KIRKLAND,98033,258,22400,2,2,1,1,1,2,2,7,2, , , , ,3,4,1,1,7,1,8,1,1996, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,980.92
1,2110,1,1,2,3,1,1,1,4,1,5,5,2,1,COVINGTON,98042,481,32005,3,2,1,3,4,1,1,7,5, , , , ,2,2,2,5,7,2,11,3,1998, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,696.56
1,2116,1,1,8,2,0,3,1,3,2,7,7,3,2,BAINBRIDGE ISL,98110,908,90900,4,0,1,2,1,1,1,6,5, , , , ,2,1,2,1,7,1,1,1,2005,1,2000,1,1994, , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,66.21
1,2120,1,1,7,2,2,2,1,3,2,12,11,4,1,SHORELINE,98133,221,20300,1,2,1,1,1,1,1,7,6, , , , , , , , , , , ,3,2004,4,2004, , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,335.56
1,2128,1,1,4,1,1,0,0,4,1,4,4,2,1,SEATTLE,98102,110,7400,1,1,1,1,2,2,5,7,5,1,SEATTLE,98102,111,1,2,2,5,7,4,7, , , , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,256.11
1,2138,1,1,8,2,0,1,1,3,1,2,2,1,1,SEATTLE,98117,38,3000,1,1,1,1,1,1,1,7,7, , , , , , , , , , , ,1,1993, , , , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,258.22
1,2158,1,1,4,1,0,2,1,3,1,7,7,3,1,SEATTLE,98116,173,9702,1,1,1,1,1,1,1,7,6, , , , , , , , , , , ,1,1992,1,1991, , , , , , , , , , , , , , , , ,1,1,2006,4,4,10,11,1,70.13
1,2163,1,1,8,2,0,2,1,3,2,15,11,4,1,SEATTLE,98116,171,9600,1,1,1,1,1,1,1,7,4,1,SEATTLE,98118,185,1,1,1,1,7,6,5,1,1998,3,2003, , , , , , , , , , , , , , , , ,1,1,2006,4,4,3,4,1,97.49
1,2206,1,1,4,1,1,1,1,4,1,17,2,1,4,MOUNTLAKE TERR,98043,586,51300,6,0,1,2,1,1,1,7,7, , , , , , , , , , , ,1,1999, , , , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,279.85
1,2220,1,1,2,3,2,2,1,3,2,4,4,2,1,SEATTLE,98146,351,26802,1,2,1,2,1,1,1,7,7, , , , , , , , , , , ,2,1999,3,1987, , , , , , , , , , , , , , , , ,1, ,2006,4,4,10,11,1,569.69
1,2229,1,1,8,2,0,2,1,3,2,5,5,2,1,MAPLE VALLEY,98038,475,32002,3,2,2,3,4,1,1,7,6, , , , , , , , , , , ,1,2000,4,1995, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,307.94
1,2237,1,1,8,2,0,2,1,3,2,3,3,1,2,BREMERTON,98311,922,91800,4,0,1,2,1,2,1,7,7, , , , , , , , , , , ,1,1996,9,1978, , , , , , , , , , , , , , , , ,1, ,2006,4,4,3,4,1,119.98
