rectype,qno,pernum,tourno,halftour,mode4,md_stops,md_num,leg_stop,md_min,md_dist,no_dist
3,2001,1,1,1,44,1,1,1,63,12.59,0
3,2001,1,1,2,44,1,1,1,67,18.19,0
3,2001,1,2,1,44,1,1,1,61,17.21,0
3,2001,1,2,2,11,1,2,2,4,.56,0
3,2001,1,2,2,44,1,2,2,68,18.19,0
3,2006,1,0, , ,1,1,1,0, , 
3,2006,2,1,1,21,1,1,1,15,.48,0
3,2006,2,1,2,11,1,1,1,15,.48,0
3,2006,2,2,1,11,1,1,1,35,9.75,0
3,2006,2,2,2,11,1,1,1,45,9.38,0
3,2006,3,1,1,11,1,1,1,30,6.57,0
3,2006,3,1,2,11,1,1,1,30,6.84,0
3,2006,3,2,1,11,1,1,1,30,8.17,0
3,2006,3,2,2,11,1,1,1,40,7.8,0
3,2006,3,3,1,11,1,1,1,30,8.17,0
3,2015,1,0, , ,1,1,1,0, , 
3,2015,2,0, , ,1,1,1,0, , 
3,2015,3,0, , ,1,1,1,0, , 
3,2016,1,1,1,11,1,1,1,19,12.11,0
3,2016,1,1,2,11,2,1,2,38,14.18,0
3,2016,1,2,1,11,1,1,1,26,12.11,0
3,2016,1,2,2,11,2,1,2,32,14.3,0
3,2033,1,1,1,11,1,1,1,4,.56,0
3,2033,1,1,2,11,1,1,1,5,.56,0
3,2033,1,2,1,11,1,1,1,15,3.94,0
3,2033,1,2,2,11,1,1,1,15,3.94,0
3,2033,1,3,1,11,1,2,2,25,6.67,0
3,2033,1,3,1,31,1,2,2,3,.59,0
3,2033,1,3,2,11,2,1,2,19,7.77,0
3,2033,1,4,1,11,1,2,2,8,3.35,0
3,2033,1,4,1,60,1,2,2,29,2.15,0
3,2033,1,4,2,11,1,2,2,4,3.94,0
3,2033,1,4,2,60,1,2,2,38,2.15,0
3,2033,2,1,1,11,1,1,1,45,13.72,0
3,2033,2,1,2,11,1,1,1,30,14.34,0
3,2033,2,2,1,11,2,1,2,31,15.9,0
3,2033,2,2,2,11,2,1,2,36,15.74,0
3,2033,2,3,1,11,1,1,1,45,13.72,0
3,2033,2,3,2,11,1,1,1,30,14.34,0
3,2033,2,4,1,21,1,1,1,8,3.35,0
3,2033,2,4,2,21,1,2,3,3,3.94,0
3,2033,2,4,2,60,2,2,3,67,4.3,0
3,2058,1,1,1,11,1,1,1,18,7.5,0
3,2058,1,1,2,11,1,1,1,37,7.49,0
3,2058,1,2,1,11,1,1,1,19,7.5,0
3,2058,1,2,2,11,1,1,1,25,7.49,0
3,2058,2,1,1,11,1,1,1,27,21.6,0
3,2058,2,1,2,11,2,1,2,50,25.65,0
3,2058,2,2,1,11,2,1,2,24,15.63,0
3,2058,2,2,2,11,1,1,1,13,14.7,0
3,2058,2,3,1,11,1,1,1,37,21.6,0
3,2058,2,3,2,11,3,1,3,46,22.92,0
3,2062,1,1,1,53,1,1,1,31,2.03,0
3,2062,1,1,2,54,1,1,1,29,2.18,0
3,2062,1,2,1,60,1,1,1,9,.153867424242421,0
3,2062,1,2,2,60,1,1,1,10,.153867424242421,0
3,2062,1,3,1,53,1,1,1,31,2.03,0
3,2062,1,3,2,53,1,1,1,29,2.18,0
3,2065,1,1,1,21,1,1,1,15,2.19,0
3,2065,1,1,2,60,1,1,1,45,2.62331818181817,0
3,2065,1,2,1,21,1,1,1,15,2.1,0
3,2065,1,2,2,60,1,1,1,45,2.88589015151514,0
3,2065,1,2,3,11,2,1,2,60,24.22,0
3,2065,2,1,1,21,1,1,1,15,2.19,0
3,2065,2,1,2,11,3,1,3,29,3.55,0
3,2065,2,2,1,21,1,1,1,15,1.6,0
3,2065,2,2,2,11,1,1,1,15,1.74,0
3,2065,2,3,1,11,1,1,1,10,1.6,0
3,2065,2,3,2,11,1,1,1,15,1.74,0
3,2067,1,1,1,11,1,1,1,8,4.14,0
3,2067,1,1,2,11,1,1,1,17,4.14,0
3,2067,1,2,1,11,1,1,1,11,3.6,0
3,2067,1,2,2,11,3,1,3,25,7.6,0
3,2067,2,1,1,11,1,2,2,19,11.96,0
3,2067,2,1,1,21,1,2,2,8,2.75,0
3,2067,2,1,2,11,1,2,3,18,11.96,0
3,2067,2,1,2,21,2,2,3,12,3.09,0
3,2067,2,2,1,11,2,2,3,48,12.53,0
3,2067,2,2,1,21,1,2,3,6,2.75,0
3,2067,2,2,2,11,1,1,1,16,11.58,0
3,2070,1,1,1,11,1,1,1,45,32.27,0
3,2070,1,1,2,11,1,1,1,90,30.73,0
3,2070,1,2,1,11,1,1,1,45,32.27,0
3,2070,1,2,2,11,1,1,1,90,30.73,0
3,2070,2,1,1,11,1,1,1,30,20.76,0
3,2070,2,1,2,11,1,1,1,60,20.79,0
3,2070,2,2,1,11,1,1,1,30,20.76,0
3,2070,2,2,2,11,1,1,1,60,20.79,0
3,2070,3,0, , ,1,1,1,0, , 
3,2071,1,1,1,11,1,2,2,10,2.98,0
3,2071,1,1,1,21,1,2,2,5,2.85,0
3,2071,1,1,2,11,1,1,1,20,4.99,0
3,2071,1,1,3,11,2,1,2,60,15.13,0
3,2071,1,2,1,11,1,1,1,20,5,0
3,2071,1,2,2,11,1,1,1,15,4.99,0
3,2071,2,1,1,11,1,1,1,5,1.67,0
3,2071,2,1,2,21,1,1,1,5,1.67,0
3,2071,2,1,3,11,1,2,2,15,3.41,0
3,2071,2,1,3,21,1,2,2,5,3.41,0
3,2071,2,2,1,11,1,1,1,5,1.67,0
3,2071,2,2,2,11,1,1,1,5,1.67,0
3,2071,2,3,1,11,1,1,1,5,1.67,0
3,2071,2,3,2,11,1,1,1,5,1.67,0
3,2071,3,1,1,80,1,1,1,25,4.76,0
3,2071,3,1,2,80,1,1,1,35,4.72,0
3,2071,3,2,1,60,1,1,1,30,.481568181818197,0
3,2071,3,2,2,60,1,1,1,15,.481568181818197,0
3,2071,3,3,1,80,1,1,1,25,4.76,0
3,2071,3,3,2,80,1,1,1,40,4.72,0
3,2071,3,4,1,31,1,1,1,15,2.37,0
3,2071,3,4,2,31,1,1,1,5,2.37,0
3,2071,4,1,1,21,1,1,1,10,2.85,0
3,2071,4,1,2,21,2,1,2,15,5.08,0
3,2089,1,1,1,11,2,1,2,93,49.53,0
3,2089,1,1,2,11,2,1,2,55,25.87,0
3,2089,1,1,3,11,2,1,2,30,10.86,0
3,2089,1,2,1,11,1,1,1,30,24.89,0
3,2089,1,2,2,11,2,1,2,80,26.2,0
