hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidprk,pdiary,pproxy,psexpfac
2001,1,1,37,2,1,147857,515,52.76,16.5,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,324.86
2006,1,4,43,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,356.76
2006,2,4,39,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,356.76
2006,3,1,64,2,1,13585,1026,30.19,7.62,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,356.76
2015,1,1,36,2,1,99345,1628,40.39,11.65,0,-1,-1,-1,-1,3,4,3,0,-1,1,0,411.65
2015,2,7,10,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,411.65
2015,3,7,8,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,411.65
2016,1,1,35,2,1,181158,1616,37.92,13.37,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,98.36
2033,1,2,58,2,2,958934,2606,9.34,1.97,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,218.57
2033,2,1,59,1,1,235743,163,67.99,13.61,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,218.57
2058,1,1,51,2,1,716105,3124,21.92,6.49,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,416.17
2058,2,1,49,1,1,438083,1353,50.64,23.13,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,416.17
2062,1,4,47,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,223.48
2065,1,1,51,1,1,987335,2292,15.46,2.8,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,205.05
2065,2,1,47,2,1,988328,2280,15.05,2.47,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,205.05
2067,1,3,78,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,267.69
2067,2,2,80,1,2,23072,1795,12.06,2.94,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,267.69
2070,1,1,61,1,1,1145208,2309,78.52,32.44,0,-1,-1,-1,-1,3,2,9,0,-1,1,0,442.41
2070,2,1,58,2,1,59017,529,75.16,22.37,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,442.41
2070,3,1,35,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,442.41
2071,1,1,48,2,1,519459,630,23.04,5.63,0,-1,-1,-1,-1,3,8,7,0,-1,1,0,171.91
2071,2,1,55,1,1,120881,721,9.57,1.78,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,171.91
2071,3,7,14,1,0,-1,-1,-1,-1,1,289885,624,18.42,4.76,-1,-1,-1,1,-1,1,1,171.91
2071,4,7,6,2,0,-1,-1,-1,-1,1,108818,664,10.44,2.2,-1,-1,-1,0,-1,1,1,171.91
2089,1,1,49,1,1,785024,3036,93.32,26.2,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,235.57
2089,2,1,50,2,1,670021,3563,53.09,15.34,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,235.57
2089,3,5,18,2,0,-1,-1,-1,-1,2,674828,3596,59.98,13.65,-1,-1,-1,0,-1,1,1,235.57
2089,4,7,15,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,235.57
2109,1,1,28,1,1,1137704,2564,28.33,11.32,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,980.92
2110,1,1,46,1,1,430869,1929,81.01,38.21,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,696.56
2110,2,7,10,1,0,-1,-1,-1,-1,1,232870,2008,7.77,1.21,-1,-1,-1,0,-1,1,0,696.56
2110,3,7,9,2,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,696.56
2116,1,3,66,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,66.21
2116,2,4,63,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,66.21
2120,1,1,49,2,1,246663,72,32.73,5.73,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,335.56
2120,2,1,54,2,1,66869,1832,5.55,0.39,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,335.56
2128,1,1,45,1,1,147091,321,17.86,3.95,0,-1,-1,-1,-1,5,-1,-1,1,-1,1,0,256.11
2138,1,4,62,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,258.22
2138,2,3,96,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,258.22
2158,1,4,63,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,70.13
2163,1,4,61,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,97.49
2163,2,3,69,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,97.49
2206,1,1,50,2,1,182708,70,45.76,8.11,0,-1,-1,-1,-1,3,9,9,0,-1,1,0,279.85
