,hhno,hhsize,hhvehs,hhwkrs,hhftw,hhptw,hhret,hhoad,hhuni,hhhsc,hh515,hhcu5,hhincome,hownrent,hrestype,hhparcel,hhtaz,hhexpfac
0,17100005,2,2,1,0,0,1,1,0,0,0,0,87500,1,1,-1,-1,-1
1,17100024,3,1,2,1,1,0,0,1,0,0,1,87500,1,2,-1,-1,-1
2,17100052,1,0,1,0,0,0,1,0,0,0,0,17500,2,1,-1,-1,-1
3,17100059,1,0,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
4,17100060,1,1,0,0,0,1,0,0,0,0,0,17500,2,3,-1,-1,-1
5,17100102,1,1,1,1,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
6,17100108,2,1,2,2,0,0,0,0,0,0,0,225000,2,3,-1,-1,-1
7,17100111,4,3,2,1,1,0,0,0,1,1,0,225000,1,1,-1,-1,-1
8,17100137,1,1,1,0,1,0,0,0,0,0,0,17500,1,3,-1,-1,-1
9,17100149,4,2,2,2,0,0,0,0,1,1,0,125000,1,3,-1,-1,-1
10,17100179,3,2,2,2,0,0,0,0,1,0,0,175000,1,1,-1,-1,-1
11,17100203,4,2,1,1,0,0,1,0,0,0,2,175000,2,3,-1,-1,-1
12,17100208,3,2,2,0,1,0,1,0,0,1,0,62500,2,3,-1,-1,-1
13,17100221,1,0,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
14,17100231,2,2,0,0,0,0,2,0,0,0,0,-1,3,3,-1,-1,-1
15,17100233,2,3,1,1,0,1,0,0,0,0,0,175000,1,1,-1,-1,-1
16,17100238,2,2,0,0,0,2,0,0,0,0,0,125000,1,2,-1,-1,-1
17,17100248,1,0,1,1,0,0,0,0,0,0,0,225000,1,3,-1,-1,-1
18,17100255,1,1,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
19,17100280,1,0,0,0,0,0,1,0,0,0,0,37500,2,3,-1,-1,-1
20,17100291,2,1,1,1,0,0,1,0,0,0,0,30000,2,3,-1,-1,-1
21,17100303,2,2,2,2,0,0,0,1,0,0,0,62500,2,3,-1,-1,-1
22,17100326,2,1,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
23,17100342,2,2,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
24,17100372,2,1,1,1,0,0,1,0,0,0,0,300000,2,2,-1,-1,-1
25,17100410,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
26,17100411,1,0,1,1,0,0,0,1,0,0,0,62500,2,3,-1,-1,-1
27,17100414,3,2,2,2,0,0,0,0,0,0,1,125000,1,1,-1,-1,-1
28,17100418,2,2,1,1,0,0,1,0,0,0,0,125000,2,3,-1,-1,-1
29,17100433,2,1,1,1,0,0,1,0,0,0,0,42500,2,3,-1,-1,-1
30,17100441,2,1,1,1,0,1,0,0,0,0,0,125000,1,2,-1,-1,-1
31,17100458,1,1,1,0,0,0,1,0,0,0,0,-1,1,3,-1,-1,-1
32,17100477,4,1,1,1,0,0,1,0,0,0,2,-1,2,3,-1,-1,-1
33,17100482,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
34,17100492,1,1,1,0,0,0,1,0,0,0,0,17500,2,1,-1,-1,-1
35,17100501,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
36,17100563,1,1,1,1,0,0,0,0,0,0,0,62500,1,3,-1,-1,-1
37,17100569,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
38,17100590,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
39,17100627,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
40,17100652,3,1,1,1,0,0,1,0,0,0,1,62500,2,3,-1,-1,-1
41,17100654,3,2,1,1,0,0,1,0,0,1,0,-1,1,1,-1,-1,-1
42,17100663,1,1,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
43,17100673,2,2,2,2,0,0,0,0,0,0,0,175000,1,1,-1,-1,-1
44,17100675,1,1,1,1,0,0,0,0,0,0,0,175000,1,2,-1,-1,-1
45,17100681,2,1,2,2,0,0,0,0,0,0,0,175000,1,2,-1,-1,-1
46,17100717,1,0,0,0,0,1,0,0,0,0,0,17500,2,3,-1,-1,-1
47,17100739,3,1,0,0,0,1,2,1,0,0,0,62500,2,1,-1,-1,-1
48,17100760,4,3,2,1,1,0,1,1,1,0,0,125000,1,1,-1,-1,-1
49,17100761,4,2,1,1,0,0,1,1,0,2,0,125000,2,2,-1,-1,-1
50,17100789,3,1,1,1,0,0,1,0,0,1,0,125000,2,3,-1,-1,-1
51,17100794,3,1,0,0,0,0,3,0,0,0,0,-1,3,1,-1,-1,-1
52,17100800,1,1,1,1,0,0,0,0,0,0,0,225000,1,3,-1,-1,-1
53,17100807,1,1,1,0,0,0,1,0,0,0,0,62500,1,1,-1,-1,-1
54,17100818,1,1,1,1,0,0,0,0,0,0,0,42500,1,3,-1,-1,-1
55,17100822,2,1,1,1,0,0,1,1,0,0,0,300000,1,3,-1,-1,-1
56,17100834,2,0,1,0,1,0,1,2,0,0,0,42500,2,3,-1,-1,-1
57,17100836,3,2,2,2,0,0,0,0,0,1,0,125000,1,2,-1,-1,-1
58,17100837,1,2,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
59,17100859,2,1,2,2,0,0,0,0,0,0,0,175000,1,3,-1,-1,-1
60,17100868,2,0,2,2,0,0,0,0,0,0,0,175000,2,3,-1,-1,-1
61,17100889,1,1,1,1,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
62,17100892,2,1,1,1,0,0,1,1,0,0,0,175000,2,3,-1,-1,-1
63,17100907,1,1,1,1,0,0,0,0,0,0,0,-1,1,3,-1,-1,-1
64,17100908,1,1,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
65,17100924,3,0,1,1,0,1,1,0,0,0,0,125000,2,3,-1,-1,-1
66,17100939,4,2,1,1,0,0,1,0,0,0,2,125000,1,2,-1,-1,-1
67,17100942,1,0,1,1,0,0,0,0,0,0,0,125000,1,3,-1,-1,-1
68,17100952,2,1,0,0,0,0,2,0,0,0,0,62500,2,3,-1,-1,-1
69,17100957,2,0,2,0,2,0,0,1,0,0,0,17500,2,3,-1,-1,-1
70,17100964,2,2,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
71,17100982,1,1,0,0,0,1,0,0,0,0,0,125000,1,1,-1,-1,-1
72,17100984,3,2,3,1,2,0,0,1,0,0,0,62500,2,1,-1,-1,-1
73,17100986,1,1,1,0,1,0,0,1,0,0,0,30000,2,3,-1,-1,-1
74,17100992,1,1,1,1,0,0,0,0,0,0,0,87500,2,3,-1,-1,-1
75,17101013,1,0,0,0,0,0,1,0,0,0,0,5000,2,3,-1,-1,-1
76,17101031,2,1,1,1,0,0,1,0,0,0,0,125000,2,3,-1,-1,-1
77,17101042,1,0,0,0,0,0,1,0,0,0,0,5000,2,3,-1,-1,-1
78,17101064,1,0,0,0,0,1,0,0,0,0,0,17500,2,3,-1,-1,-1
79,17101079,1,0,1,1,0,0,0,0,0,0,0,62500,2,3,-1,-1,-1
80,17101086,3,1,2,2,0,0,0,0,0,0,1,125000,1,3,-1,-1,-1
81,17101128,2,2,2,2,0,0,0,0,0,0,0,125000,2,3,-1,-1,-1
82,17101130,1,1,1,0,0,0,1,0,0,0,0,125000,2,1,-1,-1,-1
83,17101179,2,2,1,0,0,0,2,1,0,0,0,30000,2,3,-1,-1,-1
84,17101213,2,1,2,1,1,0,0,0,0,0,0,62500,2,3,-1,-1,-1
85,17101223,5,4,2,2,0,0,0,0,0,3,0,300000,1,1,-1,-1,-1
86,17101236,1,0,0,0,0,1,0,0,0,0,0,30000,1,1,-1,-1,-1
