"","survey","mode_simple","count","count_moe","reliability","share","share_moe","sample_size","year"
"1","2017_2019","Bike",121063.665092396,47964.8611065518,0.240848236795785,0.00731195459368035,0.0028761135238515,1194,"2017/2019"
"2","2017_2019","Drive",13509557.1253217,1126608.61942876,0.0506951083078166,0.815944802312839,0.0163454195841635,44634,"2017/2019"
"3","2017_2019","Other",136237.747747867,36341.0087652581,0.162156223269187,0.00822843274005788,0.00220097414403976,1179,"2017/2019"
"4","2017_2019","Transit",1001252.1189231,143015.866146826,0.0868310135043474,0.0604732231161552,0.00869778310184272,8707,"2017/2019"
"5","2017_2019","Walk",1764939.21295572,196548.862902631,0.0676978507549135,0.10659808932671,0.0115996139445119,16693,"2017/2019"
"6","2021","Bike",137993.811876736,41662.2344883906,0.18353421773546,0.00994048638663705,0.00299960921656558,132,"2021"
"7","2021","Drive",11060555.6690326,601378.905994389,0.0330525782793184,0.796755315048987,0.0165940709547437,8072,"2021"
"8","2021","Other",134467.899705121,45785.8817367533,0.206988900837608,0.00968649469334484,0.00329708858141904,94,"2021"
"9","2021","Transit",448310.308632832,88438.7522682931,0.119921755976493,0.0322943649381499,0.00636076250263481,437,"2021"
"10","2021","Walk",2091493.02112553,200955.414056446,0.0584086796833917,0.150662247976858,0.0142472330299789,1855,"2021"
