"","geoid","name"
"1","53033000600","Seattle Northgate"
"2","53033001200","Seattle Northgate"
"3","53033001300","Seattle Northgate"
"4","53033001900","Seattle Northgate"
"5","53033004200","Seattle University Community"
"6","53033004301","Seattle University Community"
"7","53033004302","Seattle University Community"
"8","53033004400","Seattle University Community"
"9","53033004500","Seattle University Community"
"10","53033005200","Seattle University Community"
"11","53033005301","Seattle University Community"
"12","53033005302","Seattle University Community"
"13","53033005802","Seattle Uptown"
"14","53033006500","Seattle First Hill/Capitol Hill"
"15","53033006600","Seattle First Hill/Capitol Hill"
"16","53033006700","Seattle South Lake Union"
"17","53033007000","Seattle Uptown"
"18","53033007100","Seattle Downtown"
"19","53033007200","Seattle Downtown"
"20","53033007300","Seattle Downtown"
"21","53033007401","Seattle First Hill/Capitol Hill"
"22","53033007402","Seattle First Hill/Capitol Hill"
"23","53033007500","Seattle First Hill/Capitol Hill"
"24","53033007600","Seattle First Hill/Capitol Hill"
"25","53033007900","Seattle First Hill/Capitol Hill"
"26","53033008001","Seattle Downtown"
"27","53033008002","Seattle Downtown"
"28","53033008100","Seattle Downtown"
"29","53033008200","Seattle Downtown"
"30","53033008300","Seattle Downtown"
"31","53033008400","Seattle First Hill/Capitol Hill"
"32","53033008500","Seattle Downtown"
"33","53033008600","Seattle First Hill/Capitol Hill"
"34","53033008700","Seattle First Hill/Capitol Hill"
"35","53033009000","Seattle Downtown"
"36","53033009100","Seattle Downtown"
"37","53033009200","Seattle Downtown"
"38","53033009300","Seattle Downtown"
"39","53033009400","Seattle Downtown"
"40","53033021903","Kirkland Totem Lake"
"41","53033021904","Kirkland Totem Lake"
"42","53033022003","Kirkland Totem Lake"
"43","53033022005","Kirkland Totem Lake"
"44","53033022006","Kirkland Totem Lake"
"45","53033022400","Kirkland Totem Lake"
"46","53033022500","Kirkland Totem Lake"
"47","53033022603","Kirkland Totem Lake"
"48","53033022605","Kirkland Totem Lake"
"49","53033022801","Redmond-Overlake"
"50","53033022803","Redmond-Overlake"
"51","53033022901","Redmond-Overlake"
"52","53033023000","Redmond-Overlake"
"53","53033023404","Issaquah"
"54","53033023801","Bellevue"
"55","53033023803","Bellevue"
"56","53033023804","Bellevue"
"57","53033024000","Bellevue"
"58","53033025006","Issaquah"
"59","53033025301","Renton"
"60","53033025302","Renton"
"61","53033026200","Tukwila"
"62","53033027400","Burien"
"63","53033027500","Burien"
"64","53033027600","Burien"
"65","53033027900","Burien"
"66","53033028000","Burien"
"67","53033028100","SeaTac"
"68","53033028300","Tukwila"
"69","53033028402","SeaTac"
"70","53033028403","SeaTac"
"71","53033028801","SeaTac"
"72","53033028802","SeaTac"
"73","53033029203","Kent"
"74","53033029206","Kent"
"75","53033029700","Kent"
"76","53033030006","Federal Way"
"77","53033030313","Federal Way"
"78","53033030501","Auburn"
"79","53033030600","Auburn"
"80","53033030801","Auburn"
"81","53033032103","Issaquah"
"82","53033032104","Issaquah"
"83","53033032208","Issaquah"
"84","53033032309","Redmond Downtown"
"85","53033032324","Redmond Downtown"
"86","53033032325","Redmond Downtown"
"87","53035080500","Bremerton"
"88","53035081000","Bremerton"
"89","53035081100","Bremerton"
"90","53035081200","Bremerton"
"91","53035081400","Bremerton"
"92","53035090400","Silverdale"
"93","53035091201","Silverdale"
"94","53035091203","Silverdale"
"95","53035091204","Silverdale"
"96","53053060200","Tacoma Downtown"
"97","53053060600","Tacoma Downtown"
"98","53053061002","University Place"
"99","53053061300","Tacoma Downtown"
"100","53053061400","Tacoma Downtown"
"101","53053061500","Tacoma Downtown"
"102","53053061601","Tacoma Downtown"
"103","53053061602","Tacoma Downtown"
"104","53053061700","Tacoma Downtown"
"105","53053062600","Tacoma Downtown"
"106","53053062900","Tacoma Mall"
"107","53053071206","Puyallup South Hill"
"108","53053071207","Puyallup South Hill"
"109","53053071208","Puyallup South Hill"
"110","53053071209","Puyallup South Hill"
"111","53053071304","Puyallup South Hill"
"112","53053071805","Lakewood"
"113","53053071806","Lakewood"
"114","53053071807","Lakewood"
"115","53053071901","Lakewood"
"116","53053071902","Lakewood"
"117","53053072305","University Place"
"118","53053072307","University Place"
"119","53053072308","University Place"
"120","53053072309","University Place"
"121","53053072310","University Place"
"122","53053072311","University Place"
"123","53053072312","University Place"
"124","53053072313","University Place"
"125","53053073404","Puyallup Downtown"
"126","53053073407","Puyallup Downtown"
"127","53061040400","Everett"
"128","53061040500","Everett"
"129","53061040700","Everett"
"130","53061040800","Everett"
"131","53061041000","Everett"
"132","53061051400","Lynnwood"
"133","53061051702","Lynnwood"
"134","53061051802","Lynnwood"
"135","53061051905","Lynnwood"
"136","53061051916","Bothell Canyon Park"
"137","53061051918","Bothell Canyon Park"
"138","53061051922","Bothell Canyon Park"
"139","53061051925","Bothell Canyon Park"
