"","survey","area","mode_nonm","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","Capitol Hill/Central District","HOV",80075.0537458269,15695.2240118849,0.191418400507021,0.0342089660185741,1060
"2","2017_2019","Capitol Hill/Central District","Non-Motorized",132444.050100716,17697.2115467895,0.316605822175575,0.0384643839419249,2696
"3","2017_2019","Capitol Hill/Central District","Other",3496.99580816614,1152.86655761195,0.00835952413224332,0.00283633098224861,181
"4","2017_2019","Capitol Hill/Central District","SOV",148619.70734236,27366.3788195524,0.355273525680011,0.0476915507994082,1480
"5","2017_2019","Capitol Hill/Central District","Transit",53688.9388671071,10931.1446959953,0.12834272750515,0.0253616981103395,1024
"6","2017_2019","Downtown/Lake Union","HOV",126951.771164316,27101.6727516788,0.176674001254454,0.0333894764266765,1038
"7","2017_2019","Downtown/Lake Union","Non-Motorized",271904.119017276,29998.8901835733,0.378398727514976,0.0362547977765527,5364
"8","2017_2019","Downtown/Lake Union","Other",12936.6923269867,5240.11078782644,0.0180035077529425,0.00730046531785693,298
"9","2017_2019","Downtown/Lake Union","SOV",165995.174048046,34931.514162613,0.231009235389394,0.0400540021077403,1413
"10","2017_2019","Downtown/Lake Union","Transit",140777.342229324,17648.377275131,0.195914528088233,0.0246276573423541,2587
"11","2017_2019","Duwamish","HOV",30599.4065741571,12703.5363511762,0.270919890093005,0.0919181298162251,371
"12","2017_2019","Duwamish","Non-Motorized",7094.92572404682,3254.10318907353,0.0628167900157961,0.0294708673726868,157
"13","2017_2019","Duwamish","Other",1071.91514859018,822.544463857065,0.00949048255368262,0.00743562942214842,18
"14","2017_2019","Duwamish","SOV",65552.0698950996,16758.1465970691,0.580382483180185,0.0928565062199239,569
"15","2017_2019","Duwamish","Transit",8628.0099419854,2621.63556610344,0.0763903541573315,0.0258366993095628,174
"16","2017_2019","Magnolia/Queen Anne","HOV",98740.9590729083,37803.2026490084,0.324661068689123,0.0946272759020059,361
"17","2017_2019","Magnolia/Queen Anne","Non-Motorized",62093.8196797367,18505.2770347941,0.204164979209162,0.059913710214206,411
"18","2017_2019","Magnolia/Queen Anne","Other",2615.0504458319,3092.07980014887,0.0085983069274511,0.0102014493964458,23
"19","2017_2019","Magnolia/Queen Anne","SOV",126601.671244846,35386.1622224453,0.416267314699986,0.0898806353175002,601
"20","2017_2019","Magnolia/Queen Anne","Transit",14084.0076161821,8119.96703892316,0.0463083304742783,0.0268108466980578,164
"21","2017_2019","Northeast Seattle","HOV",186211.465114642,30233.1130089225,0.297296889692356,0.0415732689145096,1353
"22","2017_2019","Northeast Seattle","Non-Motorized",151661.628019153,25830.693471538,0.242136166363409,0.0373828815702374,2359
"23","2017_2019","Northeast Seattle","Other",3631.33338759428,1275.02661024846,0.00579762433480202,0.00209647640673498,75
"24","2017_2019","Northeast Seattle","SOV",193520.202044095,36901.3359065642,0.308965691907989,0.0466103568772368,1732
"25","2017_2019","Northeast Seattle","Transit",91323.8855657419,22730.7069250568,0.145803627701444,0.0334951218376485,1212
"26","2017_2019","Northwest Seattle","HOV",223449.707119812,35597.8383640029,0.330046839689678,0.0414680995552951,1845
"27","2017_2019","Northwest Seattle","Non-Motorized",144626.064819116,18907.3712150946,0.213620220163052,0.0278233209403605,2058
"28","2017_2019","Northwest Seattle","Other",7726.63204559028,6182.28453303306,0.0114126374160996,0.00907855242439613,92
"29","2017_2019","Northwest Seattle","SOV",252936.016039115,38584.0337422909,0.373599651632775,0.0426561969435265,2215
"30","2017_2019","Northwest Seattle","Transit",48285.8088097887,10499.2420321849,0.0713206510983954,0.0155815880781123,778
"31","2017_2019","Southeast Seattle","HOV",82077.6559926349,14173.4687479531,0.323816404273974,0.0492717615061595,960
"32","2017_2019","Southeast Seattle","Non-Motorized",41274.9446740377,10766.8544386096,0.162839740113356,0.0394031080706234,714
"33","2017_2019","Southeast Seattle","Other",1048.55805135899,510.776791008427,0.00413681767293722,0.00206017570356766,38
"34","2017_2019","Southeast Seattle","SOV",102254.821589323,20934.8418737207,0.403420251788167,0.0580850475784937,1003
"35","2017_2019","Southeast Seattle","Transit",26813.7479377614,7363.39373806489,0.105786786151565,0.0284114490751781,439
"36","2017_2019","West Seattle","HOV",116091.724014563,31356.8385671231,0.362478898041782,0.0730921114488714,820
"37","2017_2019","West Seattle","Non-Motorized",44987.6947937684,8371.20895245816,0.140467291468938,0.029970017896503,568
"38","2017_2019","West Seattle","Other",1862.92616941653,1592.92312912613,0.00581670597758194,0.00501477475312098,14
"39","2017_2019","West Seattle","SOV",135681.962784718,31362.8030513927,0.423646463792552,0.071827313421008,1056
"40","2017_2019","West Seattle","Transit",21647.367752233,8293.15994684362,0.0675906407191463,0.0259641108294681,244
