"","hhincome_detailed","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","$10,000-$24,999","2017_2019",83145.2746630331,19892.9094317143,0.115389208635432,0.0260649029407187,611,"2021",102482.129571688,26947.6333407712,0.228596415469941,0.0539927204766631,86
"2","$100,000-$149,999","2017_2019",96717.7915894134,14947.3805780932,0.1342251796954,0.0209891173813358,1620,"2021",76878.8536243842,22535.172153217,0.171485803792543,0.0470941210469105,63
"3","$150,000-$199,999","2017_2019",74025.7955691103,18104.9781565759,0.102733174001115,0.0239895061713665,745,"2021",2834.27169663696,1863.2984552011,0.0063221202860143,0.0042303781765135,8
"4","$200,000-$249,999","2017_2019",67917.9853155935,28934.2252546427,0.0942567404995726,0.037023101562123,486,"2021",7076.28625775705,7775.70756205488,0.015784348745709,0.0172203519598078,5
"5","$25,000-$34,999","2017_2019",52737.0880163305,18420.2372568762,0.0731886553577896,0.0244018794410597,533,"2021",28953.8931295695,8797.9218788028,0.0645844910813391,0.0204943716257589,50
"6","$250,000 or more","2017_2019",25714.0014116035,8430.74928354594,0.0356859519168141,0.01166611953695,429,"2021",4949.87313457358,4137.33505030972,0.0110411762550558,0.009265174348285,4
"7","$35,000-$49,999","2017_2019",45115.1041140331,10156.3494746745,0.062610848088736,0.0141895497562258,654,"2021",50587.2283789753,18542.7444978917,0.112839761666972,0.0396916116466374,54
"8","$50,000-$74,999","2017_2019",96973.075518079,19577.6750337297,0.134579463334795,0.0258053967062611,1037,"2021",60791.5628039007,17150.5786969328,0.135601527855317,0.037729582890453,66
"9","$75,000-$99,999","2017_2019",64943.9648589905,14754.376131749,0.0901293878827969,0.0200159051390031,907,"2021",38522.7865915621,17031.5673734896,0.0859288440389454,0.0366485612849711,27
"10","Prefer not to answer","2017_2019",50316.8291018638,14872.528861552,0.0698298143176346,0.0200191268159884,652,"2021",39830.6790650724,16383.6887113034,0.0888462261475542,0.0354407315853404,38
"11","Under $10,000","2017_2019",62956.7859300971,18898.5169940914,0.0873715762699145,0.0249238674781835,281,"2021",35402.7443787119,15159.7002520314,0.0789692846606096,0.0329893622699909,36
