,geography,value,geography_group
0,King,487309.5447917255,CountyName
1,Kitsap,48775.18927144386,CountyName
2,Pierce,166369.11952909784,CountyName
3,Snohomish,169656.18817426683,CountyName
0,1,336379.5589171369,region
0,Auburn,286727.3846153846,GrowthCenterName
1,Ballard-Interbay,693003.1728395062,GrowthCenterName
2,Bellevue,589161.9054496905,GrowthCenterName
3,Bothell Canyon Park,287611.0,GrowthCenterName
4,Bremerton,65071.65768621236,GrowthCenterName
5,Burien,471121.9454235361,GrowthCenterName
6,Cascade,49323.63144963145,GrowthCenterName
7,Duwamish,904689.2914653784,GrowthCenterName
8,Everett,189898.792016199,GrowthCenterName
9,Federal Way,0.0,GrowthCenterName
10,Frederickson,59150.675,GrowthCenterName
11,Kent,445050.5256588072,GrowthCenterName
12,Kent MIC,456796.11,GrowthCenterName
13,Kirkland Totem Lake,453393.924226254,GrowthCenterName
14,Lakewood,227294.6487845767,GrowthCenterName
15,Lynnwood,262905.0341880342,GrowthCenterName
16,North Tukwila,574252.0,GrowthCenterName
17,Not in RGC,301135.0297547808,GrowthCenterName
18,Paine Field / Boeing Everett,238537.735,GrowthCenterName
19,Port of Tacoma,296756.0,GrowthCenterName
20,Puyallup Downtown,272555.62536023057,GrowthCenterName
21,Puyallup South Hill,157335.561042524,GrowthCenterName
22,Redmond Downtown,414325.641553173,GrowthCenterName
23,Redmond-Overlake,481855.46112115734,GrowthCenterName
24,Renton,495601.07518796995,GrowthCenterName
25,SeaTac,477947.9432723863,GrowthCenterName
26,Seattle Downtown,909168.0784978649,GrowthCenterName
27,Seattle First Hill/Capitol Hill,980803.1563628085,GrowthCenterName
28,Seattle Northgate,627357.9113591595,GrowthCenterName
29,Seattle South Lake Union,945034.4111482206,GrowthCenterName
30,Seattle University Community,936833.7130374343,GrowthCenterName
31,Seattle Uptown,861271.5825688073,GrowthCenterName
32,Silverdale,73309.14452423698,GrowthCenterName
33,Sumner Pacific,219751.74074074073,GrowthCenterName
34,Tacoma Downtown,252989.76692691667,GrowthCenterName
35,Tacoma Mall,244527.246550138,GrowthCenterName
36,Tukwila,536377.0,GrowthCenterName
0,CitiesTowns,137868.95370339983,rg_proposed
1,Core,329351.6252103403,rg_proposed
2,HCT,221427.47278357335,rg_proposed
3,Metro,570864.2857672555,rg_proposed
4,Rural,74461.70022144692,rg_proposed
5,UU,123947.85739586285,rg_proposed
