,geography_value,jobs_1_mile_walk,jobs_3_mile_bike,geography_group
0,King,15836.854172836714,80060.47167580399,CountyName
1,Kitsap,1144.6102946229591,6989.70645696502,CountyName
2,Pierce,2189.711615668738,16116.053272967598,CountyName
3,Snohomish,1998.8486523139516,17250.136667231734,CountyName
0,1,9609.179115197945,50984.68668498557,region
0,Auburn,11554.653846153846,41672.37076923077,GrowthCenterName
1,Ballard-Interbay,13277.909465020575,80606.7242798354,GrowthCenterName
2,Bellevue,52917.00801068091,105281.04854958126,GrowthCenterName
3,Bothell Canyon Park,7779.174129353234,19229.328358208953,GrowthCenterName
4,Bremerton,12004.636291600635,29786.47147385103,GrowthCenterName
5,Burien,4355.023877202956,13305.99488345651,GrowthCenterName
6,Cascade,1669.904176904177,8579.611793611793,GrowthCenterName
7,Duwamish,28831.92914653784,248709.95491143316,GrowthCenterName
8,Everett,15431.54498119757,35115.850448365636,GrowthCenterName
9,Federal Way,,,GrowthCenterName
10,Frederickson,338.78,4604.89,GrowthCenterName
11,Kent,12351.808599167822,50446.001386962555,GrowthCenterName
12,Kent MIC,10307.05,79164.07,GrowthCenterName
13,Kirkland Totem Lake,7502.335467805052,30750.397367484882,GrowthCenterName
14,Lakewood,4760.282481139983,22265.499580888518,GrowthCenterName
15,Lynnwood,7493.23537146614,39196.18014464169,GrowthCenterName
16,North Tukwila,3623.2,45738.0,GrowthCenterName
17,Not in RGC,2906.6862733777375,34091.260954440666,GrowthCenterName
18,Paine Field / Boeing Everett,4693.45,33799.04,GrowthCenterName
19,Port of Tacoma,4950.5,62781.5,GrowthCenterName
20,Puyallup Downtown,7603.560518731989,30138.72478386167,GrowthCenterName
21,Puyallup South Hill,4535.746227709191,18909.85596707819,GrowthCenterName
22,Redmond Downtown,11657.595479571139,65659.46769052449,GrowthCenterName
23,Redmond-Overlake,38578.4773960217,97554.19529837252,GrowthCenterName
24,Renton,13061.173913043478,60223.89310232102,GrowthCenterName
25,SeaTac,7489.053680262541,51212.03820909517,GrowthCenterName
26,Seattle Downtown,181410.19886125764,392924.51645315246,GrowthCenterName
27,Seattle First Hill/Capitol Hill,124542.11083287261,387482.7472112914,GrowthCenterName
28,Seattle Northgate,11314.30641278179,51280.31888815934,GrowthCenterName
29,Seattle South Lake Union,133317.18772313718,390398.302890706,GrowthCenterName
30,Seattle University Community,33940.066130473635,121035.52040512362,GrowthCenterName
31,Seattle Uptown,60653.51978211009,370589.5488818807,GrowthCenterName
32,Silverdale,4566.247755834829,8908.567324955116,GrowthCenterName
33,Sumner Pacific,4332.62962962963,20371.925925925927,GrowthCenterName
34,Tacoma Downtown,29010.012543197234,71352.20158709843,GrowthCenterName
35,Tacoma Mall,9400.884084636615,43656.05473781049,GrowthCenterName
36,Tukwila,17696.0,106348.0,GrowthCenterName
0,CitiesTowns,874.8001772118666,7225.0680460750855,rg_proposed
1,Core,2955.6719939011714,27721.659227943725,rg_proposed
2,HCT,1349.021702792893,14454.92217178246,rg_proposed
3,Metro,25390.56187371792,120824.90841523885,rg_proposed
4,Rural,104.77829715670504,1715.699025424614,rg_proposed
5,UU,349.6313580334372,5825.150662368943,rg_proposed
0,53033000100.0,5354.175291730086,26809.290969051242,Census2010Tract
1,53033000200.0,5910.207754010695,38075.4192513369,Census2010Tract
2,53033000300.0,4247.736244541485,43974.71004366812,Census2010Tract
3,53033000401.0,5225.4618161621775,38927.36989725076,Census2010Tract
4,53033000402.0,4605.695707070707,40132.01304713805,Census2010Tract
5,53033000500.0,1059.9673995451099,28483.562547384383,Census2010Tract
6,53033000600.0,6828.862406447899,46912.93724812896,Census2010Tract
7,53033000700.0,8788.333600320384,39722.0412494994,Census2010Tract
8,53033000800.0,2674.546058879392,30988.661918328584,Census2010Tract
9,53033000900.0,766.8931034482758,26773.037931034483,Census2010Tract
10,53033001000.0,3671.605095541401,42031.221656050955,Census2010Tract
11,53033001100.0,5645.485454545455,48054.93818181818,Census2010Tract
12,53033001200.0,10948.386471027108,50820.93384730167,Census2010Tract
13,53033001300.0,8446.615352523988,49473.76178556529,Census2010Tract
14,53033001400.0,3389.9939603106127,41458.78602243313,Census2010Tract
15,53033001500.0,601.9945652173913,25557.796195652172,Census2010Tract
16,53033001600.0,2171.3928380545162,36546.71459112774,Census2010Tract
17,53033001701.0,6031.084637964775,52744.614481409,Census2010Tract
18,53033001702.0,5104.5351747949935,48228.220543806645,Census2010Tract
19,53033001800.0,6267.248266897747,55913.21880415944,Census2010Tract
20,53033001900.0,8577.032653061224,62609.375,Census2010Tract
21,53033002000.0,4313.6,75942.72321428571,Census2010Tract
22,53033002100.0,2331.7390562819783,71797.75213189312,Census2010Tract
23,53033002200.0,1065.7527304499781,41584.04499781564,Census2010Tract
24,53033002400.0,1960.9638932496075,68878.98508634223,Census2010Tract
25,53033002500.0,4403.748218527316,93506.33887569279,Census2010Tract
26,53033002600.0,6058.725806451613,102443.33960573477,Census2010Tract
27,53033002700.0,5218.406584010261,89182.89354424967,Census2010Tract
28,53033002800.0,5442.115794349235,73753.63270032422,Census2010Tract
29,53033002900.0,5511.041965199591,61453.67604912999,Census2010Tract
30,53033003000.0,4136.88850967008,48455.8813045127,Census2010Tract
31,53033003100.0,2109.563312291125,33763.88377274415,Census2010Tract
32,53033003200.0,8085.2276143439985,41496.611552501614,Census2010Tract
33,53033003300.0,10467.352089593007,54983.42010379678,Census2010Tract
34,53033003400.0,5723.508430609598,69564.27626459143,Census2010Tract
35,53033003500.0,4828.82156133829,83778.85448751991,Census2010Tract
36,53033003600.0,6803.177271660014,113217.94904907256,Census2010Tract
37,53033003800.0,4429.000935453695,79021.12067352666,Census2010Tract
38,53033003900.0,3867.1668085106385,64496.539574468086,Census2010Tract
39,53033004000.0,3224.033063923586,40517.76120499633,Census2010Tract
40,53033004100.0,11961.0625,62693.498389175256,Census2010Tract
41,53033004200.0,15277.197988686361,71835.41514770585,Census2010Tract
42,53033004301.0,11150.252363636364,84476.42981818182,Census2010Tract
43,53033004302.0,32503.599019006746,92274.89209074188,Census2010Tract
44,53033004400.0,24553.999683544305,105777.90348101266,Census2010Tract
45,53033004500.0,10098.298013245034,117671.97634815515,Census2010Tract
46,53033004600.0,6190.849965588438,113781.09979353062,Census2010Tract
47,53033004700.0,14689.532719340767,60876.95298109549,Census2010Tract
48,53033004800.0,11510.54514624841,120542.88724035608,Census2010Tract
49,53033004900.0,13762.870452761057,176517.846637006,Census2010Tract
50,53033005000.0,11489.29137630662,147247.94599303135,Census2010Tract
51,53033005100.0,11355.440963855423,128313.35361445782,Census2010Tract
52,53033005200.0,30274.211085583,141624.70045950604,Census2010Tract
53,53033005301.0,36108.63351431392,123603.0476307996,Census2010Tract
54,53033005302.0,35389.05963302752,147953.6146788991,Census2010Tract
55,53033005400.0,14509.90411686587,195070.94342629483,Census2010Tract
56,53033005600.0,1181.8894678079644,34558.79679940454,Census2010Tract
57,53033005700.0,2630.8660049627792,38453.43707904998,Census2010Tract
