,survey,o_rgcname,mode_simple,count,count_moe,share,share_moe,sample_size
1,2017_2019,Auburn,Drive,19701.26466,14027.96753,89%,9%,16
2,2017_2019,Auburn,Transit,1127.231203,1157.552198,5%,6%,5
3,2017_2019,Auburn,Walk,1200.89143,1164.822217,5%,6%,5
4,2017_2019,Auburn,Total,22029.38729,14123.62173,0%,0%,26
5,2017_2019,Bellevue,Drive,95895.4806,32274.7781,68%,10%,397
6,2017_2019,Bellevue,Transit,19343.26722,9393.249608,14%,7%,112
7,2017_2019,Bellevue,Walk,24806.88845,11936.06559,18%,8%,127
8,2017_2019,Bellevue,Bike,12.02817563,19.78634891,0%,0%,1
9,2017_2019,Bellevue,Other,740.4750574,1002.56907,1%,1%,5
10,2017_2019,Bellevue,Total,141576.8701,35683.17006,1%,0%,647
11,2017_2019,Bellevue,NA,778.7305846,572.8683215,1%,0%,5
12,2017_2019,Bothell Canyon Park,Drive,38724.95254,14529.23783,97%,2%,125
13,2017_2019,Bothell Canyon Park,Transit,948.4574689,850.7780041,2%,2%,6
14,2017_2019,Bothell Canyon Park,Walk,280.9255677,326.5097714,1%,1%,8
15,2017_2019,Bothell Canyon Park,Bike,7.292574098,8.482588979,0%,0%,2
16,2017_2019,Bothell Canyon Park,Total,39968.99607,14557.65707,0%,0%,142
17,2017_2019,Bothell Canyon Park,NA,7.367925125,12.12023683,0%,0%,1
18,2017_2019,Bremerton,Drive,42452.81093,17105.21632,93%,5%,80
19,2017_2019,Bremerton,Transit,399.4978635,234.3608505,1%,1%,15
20,2017_2019,Bremerton,Walk,2432.20721,1992.939064,5%,5%,21
21,2017_2019,Bremerton,Bike,105.0191161,103.8966428,0%,0%,3
22,2017_2019,Bremerton,Other,165.2881739,271.899046,0%,1%,1
23,2017_2019,Bremerton,Total,45597.05042,17224.69884,0%,0%,123
24,2017_2019,Bremerton,NA,42.2271265,40.10422627,0%,0%,3
25,2017_2019,Burien,Drive,34690.82656,15535.31032,75%,15%,101
26,2017_2019,Burien,Transit,4995.079166,5362.614742,11%,11%,12
27,2017_2019,Burien,Walk,6179.554671,5467.188939,13%,11%,17
28,2017_2019,Burien,Other,147.6374122,171.729141,0%,0%,2
29,2017_2019,Burien,Total,46013.09781,17320.15705,0%,0%,132
30,2017_2019,Everett,Drive,42919.058,14647.8315,72%,16%,153
31,2017_2019,Everett,Transit,5394.34557,6234.064913,9%,10%,7
32,2017_2019,Everett,Walk,11438.91107,9942.987511,19%,14%,42
33,2017_2019,Everett,Bike,3.012340039,4.955299365,0%,0%,1
34,2017_2019,Everett,Total,59755.32698,18767.53686,0%,0%,203
35,2017_2019,Federal Way,Drive,16335.15573,9603.699519,43%,24%,45
36,2017_2019,Federal Way,Transit,10801.21062,10390.77101,28%,23%,5
37,2017_2019,Federal Way,Walk,11212.50021,14292.64876,29%,28%,5
38,2017_2019,Federal Way,Total,38348.86655,20110.67045,0%,0%,55
39,2017_2019,Issaquah,Drive,41092.04197,20359.3817,99%,1%,118
40,2017_2019,Issaquah,Transit,2.805063266,4.614329073,0%,0%,1
41,2017_2019,Issaquah,Walk,260.3756091,180.0672221,1%,1%,6
42,2017_2019,Issaquah,Bike,307.9846169,506.6346948,1%,1%,1
43,2017_2019,Issaquah,Total,41663.20726,20366.43297,0%,0%,126
44,2017_2019,Kent,Drive,14966.05442,8244.735493,99%,1%,33
45,2017_2019,Kent,Transit,6.064011923,8.157687913,0%,0%,2
46,2017_2019,Kent,Bike,73.8187061,121.4317715,0%,1%,1
47,2017_2019,Kent,Other,42.75886088,70.33832614,0%,0%,1
48,2017_2019,Kent,Total,15088.696,8245.924469,0%,0%,37
49,2017_2019,Kirkland Totem Lake,Drive,59676.47264,23991.12021,66%,20%,205
50,2017_2019,Kirkland Totem Lake,Transit,9647.689456,15395.56551,11%,16%,11
51,2017_2019,Kirkland Totem Lake,Walk,12194.56388,11075.94613,13%,12%,10
52,2017_2019,Kirkland Totem Lake,Other,8792.333017,14418.47374,10%,15%,2
