"","origin_purpose_cat","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Change mode","2017_2019",24918.726422743,12091.5721231479,0.0345822674081746,0.0164482312053743,134,"2021",9174.42971802633,6004.32983876591,0.020464462987712,0.0134448729587441,11
"2","Errand/Other","2017_2019",70992.7456389112,19564.1754843151,0.0985239001414061,0.0256887760023657,538,"2021",52539.2059721939,20087.7645269725,0.117193838643634,0.0425072817005791,43
"3","Escort","2017_2019",19579.8091761206,15761.1709605589,0.027172905438363,0.0213927789010224,124,"2021",8174.03479999747,10076.1028551953,0.0182329842579909,0.0222187881946442,5
"4","Home","2017_2019",270259.326637998,36607.46473408,0.375066532084815,0.0400464261656173,3276,"2021",159454.443911252,28512.5971847454,0.355678736002134,0.0572492976729813,174
"5","Meal","2017_2019",16260.3814784537,4942.17746526639,0.0225661958363006,0.00696508747687479,296,"2021",19002.1858789539,11535.5403264924,0.042386234518905,0.0253557851895153,17
"6","School","2017_2019",30193.0516479376,11226.7683518948,0.0419019884180288,0.015322346690516,197,"2021",7858.97381707478,5979.03447820976,0.0175302099142924,0.0133435326797226,6
"7","Shop","2017_2019",63664.6055775126,20761.7190442197,0.0883538900490546,0.027170296490002,354,"2021",52126.4854491169,17618.6442052503,0.116273225141938,0.0380918493965875,52
"8","Social/Recreation","2017_2019",30225.8608439505,6457.50160494004,0.041947521097778,0.00927181738757872,536,"2021",25753.9056923317,15169.4167043515,0.0574466060592514,0.0328731755666538,17
"9","Work","2017_2019",161490.754641895,24291.830512944,0.224117250867075,0.031218470137263,2143,"2021",100672.656645925,25297.8658904342,0.22456020909476,0.0517423145913914,89
"10","Work-related","2017_2019",32648.2009990426,11203.3632234498,0.0453092504885906,0.0153064848860707,348,"2021",13553.9867479596,5007.79898058131,0.0302334933793823,0.0116691996760541,23
