"","survey","mode_freq_2","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","1-3 times in the past 30 days",150108.619374116,30701.4196272469,0.0380296785833618,0.007663493402319,613
"2","2017/2019","1 day/week",123767.793019652,29990.3281266776,0.0313562899128299,0.00748577031446369,384
"3","2017/2019","2-4 days/week",146149.026107568,33764.7633028681,0.0370265246014284,0.00839288304769292,538
"4","2017/2019","5 days/week",47258.012779369,15000.2069272582,0.0119727104544785,0.00379190402088421,244
"5","2017/2019","6-7 days/week",28995.3466716407,11713.7087196788,0.00734590537794117,0.00296376417308953,183
"6","2017/2019","I do this, but not in the past 30 days",516932.823659565,56556.313525122,0.130963759542463,0.0135787783589642,1905
"7","2017/2019","I never do this",2272542.85543776,119686.912595728,0.5757435830105,0.0207085961687535,6692
"8","2021","1-3 times in the past 30 days",204478.675386285,31418.9331623709,0.0606091156804672,0.00914278159590551,256
"9","2021","1 day/week",125781.68859592,25731.3317339237,0.0372826990403419,0.00752758677249492,142
"10","2021","2-4 days/week",143275.457748858,24265.2114716647,0.0424679922073423,0.00714134549699967,208
"11","2021","5 days/week",47652.4105461211,16380.779660148,0.0141245558138855,0.00482919012790294,48
"12","2021","6-7 days/week",22961.5649964539,10372.5392343892,0.00680599160986146,0.0030692076851601,36
"13","2021","I do this, but not in the past 30 days",776077.7240354,60159.1009366184,0.2300356477967,0.016328920122904,870
"14","2021","I never do this",2053500.5572246,85097.1854767527,0.608673997851402,0.0187083604477691,2742
