"","survey","mode_freq_3","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","1-3 times in the past 30 days",347474.013458804,47258.6592947147,0.0880317539592776,0.0115371804237088,969
"2","2017/2019","1 day/week",344494.34212077,47613.072720629,0.0872768609775023,0.0116125330563274,1025
"3","2017/2019","2-4 days/week",718228.965612993,67007.6802750328,0.181961680984139,0.0156834610571437,2743
"4","2017/2019","5 days/week",326297.937936149,44973.516590082,0.0826668432090396,0.0110271464795234,1334
"5","2017/2019","6-7 days/week",425636.358924746,49041.3215710297,0.107834007072959,0.0119779889809775,2408
"6","2017/2019","I do this, but not in the past 30 days",250148.58322026,43564.889659654,0.0633745767405959,0.0106861198862224,507
"7","2017/2019","I never do this",873474.275775944,79834.8519699555,0.22129272853949,0.0178838629844245,1573
"8","2021","1-3 times in the past 30 days",447326.332548368,46517.8992637222,0.132591104598683,0.0131682660714922,536
"9","2021","1 day/week",260987.776914533,34587.1299422115,0.0773588655751916,0.0100363646507698,377
"10","2021","2-4 days/week",897397.333314349,63015.5601900632,0.265995750820675,0.016942210995908,1147
"11","2021","5 days/week",403430.421332791,43052.193476085,0.119580005246937,0.0123103332203881,500
"12","2021","6-7 days/week",586737.643593856,49762.5775691998,0.173913732801156,0.0140818526556642,806
"13","2021","I do this, but not in the past 30 days",277296.894408772,36218.4605619421,0.0821930185106372,0.0104729919388091,353
"14","2021","I never do this",500551.676420966,48830.5108849794,0.148367522446719,0.0137509679798284,583
