"","home_county","mode_characterization","count","prop","prop_se","est","est_se"
"1","King","Bike/Micromobility",837,0.0170463273376686,0.00215606131679,148291.395918045,18833.6133672666
"2","King","Drive HOV2",3550,0.200651089264984,0.00842743811730512,1745527.32269954,83144.4605594447
"3","King","Drive HOV3+",1910,0.169723311423294,0.00763536474538219,1476476.7959827,73032.1890922061
"4","King","Drive SOV",8303,0.446031672311828,0.00982782416716523,3880170.66671133,115664.484056909
"5","King","Transit",1649,0.0521235413552209,0.00368395099845153,453439.181041493,32422.9429002337
"6","King","Walk",5684,0.114424058307005,0.00452397706950312,995411.093359553,38470.9127704201
"7","Kitsap","Bike/Micromobility",34,0.00307320441094288,0.000624808805716851,2853.20530149317,559.738303353381
"8","Kitsap","Drive HOV2",409,0.259106369561376,0.0262256976153709,240557.922099412,29359.7358633892
"9","Kitsap","Drive HOV3+",232,0.117016972777861,0.0161400408301522,108640.169168584,15675.6714415271
"10","Kitsap","Drive SOV",747,0.455643237356447,0.0272383106224601,423025.457006963,32339.5266318054
"11","Kitsap","Transit",73,0.0643007450765786,0.0134314234140133,59697.6973250429,12878.1871228046
"12","Kitsap","Walk",68,0.100859470816794,0.0176518522422697,93639.3218152326,17396.1755126632
"13","Pierce","Bike/Micromobility",43,0.00459322435968396,0.00120128229986004,16292.6994356045,4242.51187876709
"14","Pierce","Drive HOV2",777,0.151766394314383,0.0126263449221553,538332.999514052,48757.6215656293
"15","Pierce","Drive HOV3+",427,0.326104053422509,0.0172152973326376,1156728.89262279,78211.140460602
"16","Pierce","Drive SOV",1587,0.394698418972275,0.0163249518307613,1400041.06145297,69454.8097781648
"17","Pierce","Transit",139,0.0373901682450256,0.00620096556158717,132627.262541297,22356.0446187681
"18","Pierce","Walk",455,0.0854477406861231,0.00848689525023701,303093.044761756,30962.6438726009
"19","Snohomish","Bike/Micromobility",30,0.00471407333160789,0.00131864024314838,12755.0289987606,3554.67354395314
"20","Snohomish","Drive HOV2",806,0.21515900550852,0.0153200345623088,582163.059748076,47376.4336151809
"21","Snohomish","Drive HOV3+",471,0.240461574628194,0.0156966112888367,650625.084023484,49178.616690719
"22","Snohomish","Drive SOV",1919,0.452332286259186,0.0177546292579177,1223890.89487153,63807.5654339521
"23","Snohomish","Transit",108,0.0326698161437982,0.00515694347619754,88395.8358272275,14048.5621049635
"24","Snohomish","Walk",269,0.0546632441286936,0.0067264389350814,147904.204067611,18433.1499898883
