"","mode_char1","count","prop_se","est","est_se","King","Kitsap","Pierce","Snohomish"
"1","Bike/Micromobility",837,0.00215606131679,148291.395918045,18833.6133672666,0.0170463273376686,NA,NA,NA
"2","HOV",5460,0.00977225802400298,3222004.11868225,109899.259233064,0.370374400688277,NA,NA,NA
"3","SOV",8303,0.00982782416716523,3880170.66671133,115664.484056909,0.446031672311828,NA,NA,NA
"4","Transit",1649,0.00368395099845153,453439.181041493,32422.9429002337,0.0521235413552209,NA,NA,NA
"5","Walk",5684,0.00452397706950312,995411.093359553,38470.9127704201,0.114424058307005,NA,NA,NA
"6","Bike/Micromobility",34,0.000624808805716851,2853.20530149317,559.738303353381,NA,0.00307320441094288,NA,NA
"7","HOV",641,0.0274016577296415,349198.091267996,33256.7061389663,NA,0.376123342339237,NA,NA
"8","SOV",747,0.0272383106224601,423025.457006963,32339.5266318054,NA,0.455643237356447,NA,NA
"9","Transit",73,0.0134314234140133,59697.6973250429,12878.1871228046,NA,0.0643007450765786,NA,NA
"10","Walk",68,0.0176518522422697,93639.3218152326,17396.1755126632,NA,0.100859470816794,NA,NA
"11","Bike/Micromobility",43,0.00120128229986004,16292.6994356045,4242.51187876709,NA,NA,0.00459322435968396,NA
"12","HOV",1204,0.0173431846232715,1695061.89213684,91942.8615777783,NA,NA,0.477870447736892,NA
"13","SOV",1587,0.0163249518307613,1400041.06145297,69454.8097781648,NA,NA,0.394698418972275,NA
"14","Transit",139,0.00620096556158717,132627.262541297,22356.0446187681,NA,NA,0.0373901682450256,NA
"15","Walk",455,0.00848689525023701,303093.044761756,30962.6438726009,NA,NA,0.0854477406861231,NA
"16","Bike/Micromobility",30,0.00131864024314838,12755.0289987606,3554.67354395314,NA,NA,NA,0.00471407333160789
"17","HOV",1277,0.0179505767337488,1232788.14377156,68104.6737507447,NA,NA,NA,0.455620580136714
"18","SOV",1919,0.0177546292579177,1223890.89487153,63807.5654339521,NA,NA,NA,0.452332286259186
"19","Transit",108,0.00515694347619754,88395.8358272275,14048.5621049635,NA,NA,NA,0.0326698161437982
"20","Walk",269,0.0067264389350814,147904.204067611,18433.1499898883,NA,NA,NA,0.0546632441286936
