"","survey_year","telecommute_freq","commute_freq","commute_freq_simple","telecommute_freq_cond","total"
"1","2017","1 day a week","1 day a week","1-2 days","1+ days per week",540.869706038722
"2","2017","1 day a week","2 days a week","1-2 days","1+ days per week",5394.48229083326
"3","2017","1 day a week","3 days a week","3-4 days","1+ days per week",7550.99097776635
"4","2017","1 day a week","4 days a week","3-4 days","1+ days per week",34090.9822031945
"5","2017","1 day a week","5 days a week","5+ days","1+ days per week",17048.0489652134
"6","2017","1 day a week","6-7 days a week","5+ days","1+ days per week",9030.69426694127
"7","2017","1 day a week","A few times per month",NA,"1+ days per week",26.2227808589242
"8","2017","2 days a week","1 day a week","1-2 days","1+ days per week",655.957168509539
"9","2017","2 days a week","2 days a week","1-2 days","1+ days per week",5511.92965389279
"10","2017","2 days a week","3 days a week","3-4 days","1+ days per week",30655.000710971
"11","2017","2 days a week","4 days a week","3-4 days","1+ days per week",11306.7948241514
"12","2017","2 days a week","5 days a week","5+ days","1+ days per week",16591.9867532208
"13","2017","2 days a week","6-7 days a week","5+ days","1+ days per week",7763.90643774627
"14","2017","3 days a week","1 day a week","1-2 days","1+ days per week",1224.16234584106
"15","2017","3 days a week","2 days a week","1-2 days","1+ days per week",5485.77965023954
"16","2017","3 days a week","3 days a week","3-4 days","1+ days per week",16316.3358583829
"17","2017","3 days a week","4 days a week","3-4 days","1+ days per week",660.452028791345
"18","2017","3 days a week","5 days a week","5+ days","1+ days per week",1349.54019680539
"19","2017","3 days a week","6-7 days a week","5+ days","1+ days per week",588.843794109722
"20","2017","3 days a week","A few times per month",NA,"1+ days per week",53.1191471099874
"21","2017","4 days a week","1 day a week","1-2 days","1+ days per week",47.2787488385259
"22","2017","4 days a week","3 days a week","3-4 days","1+ days per week",3784.20478836077
"23","2017","4 days a week","4 days a week","3-4 days","1+ days per week",1059.29175889154
"24","2017","4 days a week","5 days a week","5+ days","1+ days per week",625.097099325375
"25","2017","4 days a week","6-7 days a week","5+ days","1+ days per week",377.791169864096
"26","2017","5 days a week","2 days a week","1-2 days","1+ days per week",23.1213865109861
"27","2017","5 days a week","3 days a week","3-4 days","1+ days per week",241.02709602017
"28","2017","5 days a week","4 days a week","3-4 days","1+ days per week",732.197236350751
"29","2017","5 days a week","5 days a week","5+ days","1+ days per week",69291.3078513231
"30","2017","5 days a week","6-7 days a week","5+ days","1+ days per week",13588.6035117248
"31","2017","5 days a week","A few times per month",NA,"1+ days per week",56.1476550113841
"32","2017","5 days a week","Less than monthly","Never or less than weekly","1+ days per week",593.646576489968
"33","2017","6-7 days a week","2 days a week","1-2 days","1+ days per week",367.943196090277
"34","2017","6-7 days a week","3 days a week","3-4 days","1+ days per week",25.6291777384534
"35","2017","6-7 days a week","4 days a week","3-4 days","1+ days per week",591.537347508637
"36","2017","6-7 days a week","5 days a week","5+ days","1+ days per week",3175.12759741528
"37","2017","6-7 days a week","6-7 days a week","5+ days","1+ days per week",34549.2499635804
"38","2017","6-7 days a week","A few times per month",NA,"1+ days per week",652.785513362559
"39","2017","A few times per month","1 day a week","1-2 days","1+ days per week",385.478950955746
"40","2017","A few times per month","2 days a week","1-2 days","1+ days per week",9205.93963915233
"41","2017","A few times per month","3 days a week","3-4 days","1+ days per week",11619.2088841768
"42","2017","A few times per month","4 days a week","3-4 days","1+ days per week",12568.4457155841
"43","2017","A few times per month","5 days a week","5+ days","1+ days per week",162774.627744043
"44","2017","A few times per month","6-7 days a week","5+ days","1+ days per week",10660.2436812188
"45","2017","A few times per month","A few times per month",NA,"1+ days per week",657.385298640463
"46","2017","A few times per month","Less than monthly","Never or less than weekly","1+ days per week",102.650635299054
"47","2017","Less than monthly","1 day a week","1-2 days","1+ days per week",601.62607154773
"48","2017","Less than monthly","2 days a week","1-2 days","1+ days per week",886.762521382484
"49","2017","Less than monthly","3 days a week","3-4 days","1+ days per week",20294.6638422453
"50","2017","Less than monthly","4 days a week","3-4 days","1+ days per week",18855.8478930825
"51","2017","Less than monthly","5 days a week","5+ days","1+ days per week",170812.308192241
"52","2017","Less than monthly","6-7 days a week","5+ days","1+ days per week",12005.2876085838
"53","2017","Less than monthly","A few times per month",NA,"1+ days per week",388.853641811058
