"","count","prop","prop_se","est","est_se","var_1_value","var_1_name","var_2_value","var_2_name","geography","var_1_nice_name","var_2_nice_name","category_1","category_2"
"1",961,0.0121083578090168,0.00209276289299627,185223.034526589,32202.316088952,"$100,000 or more","hhincome_broad","Bike","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"2",22020,0.81007429810062,0.00685607784648045,12391805.8957969,269181.937696797,"$100,000 or more","hhincome_broad","Drive","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"3",676,0.010957761902141,0.00216491334279141,167622.227815483,33323.3255214502,"$100,000 or more","hhincome_broad","Other","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"4",3325,0.0544497914772735,0.00373385057999387,832925.138638556,58028.1420357336,"$100,000 or more","hhincome_broad","Transit","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"5",7866,0.108574797689628,0.00524699457043768,1660881.99724387,83083.5826314245,"$100,000 or more","hhincome_broad","Walk","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"6",682,0.00383499302132107,0.00104780433596721,58664.3586191689,16049.4012848756,"$100,000 or more","hhincome_broad",NA,"mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"7",334,0.0101183633187652,0.00145863488469129,99601.539877566,14392.1193749922,"$100,000-$199,000","hhincome_broad","Bike","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"8",9476,0.83115142858247,0.00615605059720906,8181556.59668044,160652.507774929,"$100,000-$199,000","hhincome_broad","Drive","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"9",120,0.00654282722514456,0.0011949587635573,64405.2448253842,11782.7324789017,"$100,000-$199,000","hhincome_broad","Other","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
"10",526,0.0294714398904555,0.00292124720272703,290106.285277836,29149.5416338398,"$100,000-$199,000","hhincome_broad","Transit","mode_simple","regional","Household income 2020 broad categories, all respondents","Mode Group","Test1","Test2"
