"","household_id","hhid","hhgroup","sample_segment","sample_source","survey_year","seattle_home","sample_county","final_cnty","cityofredmond","final_home_haddress","final_home_puma10","final_home_uvnum","final_home_rgcnum","final_home_is_rgc","final_home_jurisdiction","travelweek","traveldate","dayofweek","hhsize","hhsize_simple","vehicle_count","lifecycle","lifecycle_simple","hhincome_broad","hhincome_simple","hhincome_dichot","hhincome_detailed","hhincome_followup","hh_race_category","hh_race_poc","hh_race_apoc","google_translate","numdayscomplete","day1complete","day2complete","day3complete","day4complete","day5complete","day6complete","day7complete","numtrips","nwkdays","car_share","rent_own","res_dur","res_type","res_months","offpark","streetpark","prev_home_wa","prev_home_address","prev_home_tract","prev_home_block","prev_home_bg","prev_home_puma10","prev_home_tract10","prev_home_seattle","prev_home_rgcname","prev_home_jurisdiction","prev_home_taz2010","prev_home_notwa_notus","prev_home_notwa_city","prev_home_notwa_state","prev_home_notwa_zip","prev_rent_own","prev_res_type","res_factors_30min","res_factors_afford","res_factors_closefam","res_factors_cultural","res_factors_hhchange","res_factors_hwy","res_factors_school","res_factors_space","res_factors_transit","res_factors_walk","prev_res_factors_housing_cost","prev_res_factors_income_change","prev_res_factors_community_change","prev_res_factors_hh_size","prev_res_factors_more_space","prev_res_factors_less_space","prev_res_factors_employment","prev_res_factors_school","prev_res_factors_crime","prev_res_factors_quality","prev_res_factors_forced","prev_res_factors_no_answer","prev_res_factors_other","prev_res_factors_specify","prev_res_factors_covid_flexibility","prev_res_factors_covid_health","rmove_optin","diary_incentive_type","extra_incentive","call_center_recruit","mobile_device","contact_email","contact_phone","foreign_language","broadband","final_home_lat","final_home_lng","final_home_tract10","final_home_tract20","prev_home_lat","prev_home_lng","cityofseattle","home_city_name","prev_res_factors_displaced","numadults","numchildren","numworkers","offpark_cost","hh_weight_2021","hh_weight_2017","hh_weight_2019","hh_weight_2017_2019","hh_wt_2019","displaced","hhincome_intermediate","hh_age","hh_race_sep","hh_race"
"1",192002218,192002218,"rSurvey","Pierce - Over - Low",NA,2019,"Home not in Seattle","Pierce","Pierce",NA,NA,11503,"(None)","Not RGC","Not RGC","Lakewood",6,NA,"Wednesday","2 people","2 people","1 vehicle","Household includes children under 5","Household has kids","$25,000-$49,999","$25,000-$49,999","Under $75,000","$25,000-$34,999","Missing: Skip Logic","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,6,"1","No","Rent","Less than a year","Building with 4 or more apartments/condos","12 months",NA,NA,"Yes, previous home was in Washington",NA,53053072906,530530729061025,530530729061,11503,53053072906,"outside Seattle",NA,"Unincorporated Pierce County",3355,"Not Selected",NA,"Missing: Skip Logic",NA,"Provided by job or military","Dorm or institutional housing","Very important","Very important","Neither or N/A",NA,NA,"Neither or N/A","Neither or N/A","Somewhat important","Very unimportant","Very important","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Missing: Skip Logic","Starbucks e-gift card (delivered by email)",NA,"No","Yes","Selected","Not Selected","No",NA,47.17731,-122.50515,53053071803,53053071803,47.09996,-122.55697,"No",NA,"Not Displaced",1,1,1,NA,NA,NA,123.570935408572,61.785467704286,98.8422895589245,0,"$25,000-$49,999","Household with children",NA,NA
"2",191020204,191020204,"rSurvey","UV 20%",NA,2019,"Home in Seattle","King","King",NA,NA,11603,"Eastlake","Not RGC","Not RGC","Seattle",3,NA,"Thursday","2 people","2 people","3 vehicles","Household size > 1, Householder under age 35","Under 35 years, no kids","$100,000 or more","$100,000 or more","$75,000+","$150,000-$199,999","Missing: Skip Logic","Asian","POC","Asian POC","No",NA,NA,NA,NA,NA,NA,NA,NA,8,"1","Yes","Rent","Between 1 and 2 years","Building with 4 or more apartments/condos","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033004900,530330049005002,530330049005,11601,53033004900,"in Seattle",NA,"Seattle",319,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Building with 4 or more apartments/condos","Somewhat important","Somewhat important","Very important",NA,NA,"Very important","Somewhat unimportant","Somewhat important","Somewhat important","Very important","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Missing: Skip Logic","Amazon e-gift card (delivered by email)",NA,"No","Yes","Selected","Not Selected","No",NA,47.6401,-122.33005,53033006100,53033006100,47.66161,-122.34921,"Yes",NA,"Not Displaced",2,0,2,NA,NA,NA,25.4863872441237,12.7431936220619,27.4237437425365,0,"$150,000 or more","Household excl. age 18-34",NA,NA
"3",191038967,191038967,"rSurvey","UV 20%",NA,2019,"Home not in Seattle","King","King",NA,NA,11601,"Aurora-Licton Springs","Not RGC","Not RGC","Seattle",5,NA,"Thursday","2 people","2 people","1 vehicle","Household size > 1, Householder under age 35","Under 35 years, no kids","$100,000 or more","$100,000 or more","$75,000+","$150,000-$199,999","Missing: Skip Logic","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,16,"1","Yes","Own/paying mortgage","Less than a year","Single-family house (detached house)","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033004600,530330046001014,530330046001,11601,53033004600,"in Seattle",NA,"Seattle",229,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Building with 4 or more apartments/condos","Very important","Very important","Somewhat important",NA,NA,"Very unimportant","Neither or N/A","Somewhat important","Very important","Very important","Not Selected","Not Selected","Not Selected","Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Missing: Skip Logic","Starbucks e-gift card (delivered by email)",NA,"No","Yes","Selected","Not Selected","No",NA,47.70165,-122.34852,53033001300,53033001300,47.66977,-122.3396,"Yes",NA,"Not Displaced",2,0,2,NA,NA,NA,25.4863872441237,12.7431936220619,25.5846660769181,0,"$150,000 or more","Household excl. age 18-34","White Only","White"
"4",191030719,191030719,"rMove","UV 100%",NA,2019,"Home in Seattle","King","King",NA,NA,11603,"Commercial Core","Seattle Downtown","RGC","Seattle",2,NA,"Tuesday","2 people","2 people","1 vehicle","Household size > 1, Householder age 65+","65 years or older","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,20,"4","Yes","Own/paying mortgage","Between 2 and 3 years","Building with 4 or more apartments/condos","3-5 months of the year",NA,NA,"Yes, previous home was in Washington",NA,53033008100,530330081002005,530330081002,11603,53033008100,"in Seattle","Seattle Downtown","Seattle",502,"Not Selected",NA,"Missing: Skip Logic",NA,"Owned/paid mortgage","Building with 4 or more apartments/condos","Neither or N/A","Somewhat important","Very unimportant",NA,NA,"Very unimportant","Very unimportant","Somewhat important","Very important","Very important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Selected rMove when offered","Missing: Skip Logic",NA,"No","Yes","Selected","Not Selected","No",NA,47.60952,-122.33937,53033008100,53033008101,47.61062,-122.33663,"Yes",NA,"Not Displaced",2,0,0,NA,NA,NA,4.69386618618742,2.34693309309371,4.65296718964903,0,"Prefer not to answer","Household age 65+","White Only","White"
"5",191047715,191047715,"rSurvey","UV 20%",NA,2019,"Home in Seattle","King","King",NA,NA,11603,"Ballard-Interbay-Northend","Not RGC","Not RGC","Unincorporated King County",6,NA,"Thursday","2 people","2 people","1 vehicle","Household size > 1, Householder age 35 - 64","35-64","$50,000-$74,999","$50,000-$74,999","Under $75,000","$50,000-$74,999","Missing: Skip Logic","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,13,"1","Yes","Other","Between 2 and 3 years","Other (including boat, RV, van, etc.)","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033005400,530330054004001,530330054004,11601,53033005400,"in Seattle",NA,"Seattle",316,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Single-family house (detached house)","Very important","Very important","Somewhat important",NA,NA,"Somewhat important","Neither or N/A","Very important","Very important","Very important","Not Selected","Not Selected","Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Missing: Skip Logic","Amazon e-gift card (delivered by email)",NA,"No","No","Selected","Not Selected","No",NA,47.6532,-122.36335,53033005900,53033005901,47.65571,-122.34323,"Yes",NA,"Displaced",2,0,1,NA,NA,NA,26.3661038132627,13.1830519066314,26.113754703865,1,"$50,000-$74,999","Household age 35-64","White Only","White"
"6",191002536,191002536,"rSurvey","UV 50%",NA,2019,"Home in Seattle","King","King",NA,NA,11602,"Roosevelt","Not RGC","Not RGC","Seattle",4,NA,"Wednesday","1 person","1 person","1 vehicle","Household size = 1, Householder age 35 - 64","35-64","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Missing","Missing","Missing","No",NA,NA,NA,NA,NA,NA,NA,NA,6,"1","No","Rent","Between 2 and 3 years","Building with 4 or more apartments/condos","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033002700,530330027001000,530330027001,11601,53033002700,"in Seattle",NA,"Seattle",123,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Single-family house (detached house)","Somewhat important","Very important","Somewhat important",NA,NA,"Somewhat important","Very unimportant","Somewhat important","Very important","Very important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Missing: Skip Logic","Amazon e-gift card (delivered by email)",NA,"No","No","Selected","Not Selected","No",NA,47.6774,-122.317,53033002600,53033002600,47.69022,-122.31973,"Yes",NA,"Not Displaced",1,0,1,NA,NA,NA,9.31667997428876,4.65833998714438,9.92312007642232,0,"Prefer not to answer","Household age 35-64",NA,NA
"7",192005405,192005405,"rSurvey","Kitsap - Over - Low",NA,2019,"Home not in Seattle","Kitsap","King",NA,NA,11601,"(None)","Not RGC","Not RGC","Unincorporated King County",7,NA,"Thursday","1 person","1 person","1 vehicle","Household size = 1, Householder age 35 - 64","35-64","$25,000-$49,999","$25,000-$49,999","Under $75,000","$25,000-$34,999","Missing: Skip Logic","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,5,"1","No","Own/paying mortgage","Between 3 and 5 years","Other (including boat, RV, van, etc.)","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033009400,530330094002007,530330094002,11605,53033009400,"in Seattle",NA,"Seattle",637,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Building with 4 or more apartments/condos","Somewhat important","Very important","Neither or N/A",NA,NA,"Neither or N/A","Neither or N/A","Somewhat important","Very important","Very important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Selected","To upgrade to paying off a boat; living close to the water, paying something off, and paying less than rent.",NA,NA,"Missing: Skip Logic","Starbucks e-gift card (delivered by email)",NA,"No","No","Selected","Not Selected","No",NA,47.68096,-122.4072,53033003200,53033003201,47.59291,-122.30824,"No",NA,"Not Displaced",1,0,1,NA,NA,NA,87.7809241519988,43.8904620759994,91.3097968258833,0,"$25,000-$49,999","Household age 35-64","White Only","White"
"8",191005797,191005797,"rSurvey","UV 20%",NA,2019,"Home in Seattle","King","King",NA,NA,11603,"(None)","Seattle South Lake Union","RGC","Unincorporated King County",7,NA,"Wednesday","2 people","2 people","1 vehicle","Household size > 1, Householder age 35 - 64","35-64","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,4,"1","Yes","Own/paying mortgage","Less than a year","Single-family house (detached house)","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033010002,530330100022020,530330100022,11605,53033010002,"in Seattle",NA,"Seattle",668,"Not Selected",NA,"Missing: Skip Logic",NA,"Owned/paid mortgage","Townhouse (attached house)","Somewhat important","Neither or N/A","Neither or N/A",NA,NA,"Somewhat unimportant","Very unimportant","Somewhat important","Very important","Very important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Selected","Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Declined rMove when offered","None - prefer not to receive a gift card",NA,"No","No","Selected","Not Selected","No",NA,47.6391,-122.32991,53033006600,53033006600,47.57583,-122.30974,"Yes",NA,"Not Displaced",2,0,2,NA,NA,NA,25.4992872783997,12.7496436391998,27.7909363197637,0,"Prefer not to answer","Household age 35-64","White Only","White"
"9",191002389,191002389,"rMove","UV 20%",NA,2019,"Home in Seattle","King","King",NA,NA,11603,"Eastlake","Not RGC","Not RGC","Unincorporated King County",1,NA,"Tuesday","1 person","1 person","1 vehicle","Household size = 1, Householder age 35 - 64","35-64","$75,000-$99,999","$75,000-$99,999","$75,000+","$75,000-$99,999","Missing: Skip Logic","White Only","Non-POC","Non-POC","No",NA,NA,NA,NA,NA,NA,NA,NA,24,"4","Yes","Rent","Between 3 and 5 years","Other (including boat, RV, van, etc.)","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033003600,530330036004011,530330036004,11601,53033003600,"in Seattle",NA,"Seattle",176,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Single-family house (detached house)","Somewhat important","Neither or N/A","Somewhat important",NA,NA,"Neither or N/A","Very unimportant","Somewhat important","Somewhat important","Very important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected",NA,NA,NA,"Selected rMove when offered","Missing: Skip Logic",NA,"No","No","Selected","Not Selected","No",NA,47.64463,-122.32816,53033006100,53033006100,47.67652,-122.32514,"Yes",NA,"Not Displaced",1,0,1,NA,NA,NA,26.4548497891885,13.2274248945943,26.8670004362374,0,"$75,000-$99,999","Household age 35-64","White Only","White"
"10",191029227,191029227,"rMove","UV 20%",NA,2019,"Home in Seattle","King","King",NA,NA,11605,"Greater Duwamish","Not RGC","Not RGC","Seattle",5,NA,"Tuesday","1 person","1 person","1 vehicle","Household size = 1, Householder age 35 - 64","35-64","$25,000-$49,999","$25,000-$49,999","Under $75,000","$35,000-$49,999","Missing: Skip Logic","African American","POC","Non-Asian POC","No",NA,NA,NA,NA,NA,NA,NA,NA,44,"3","No","Rent","Less than a year","Building with 4 or more apartments/condos","12 months",NA,NA,"Yes, previous home was in Washington",NA,53033011001,530330110013011,530330110013,11605,53033011001,"in Seattle",NA,"Seattle",812,"Not Selected",NA,"Missing: Skip Logic",NA,"Rent","Single-family house (detached house)","Very important","Very important","Very important",NA,NA,"Somewhat important","Very unimportant","Very important","Very important","Somewhat important","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Not Selected","Selected","Not Selected","Not Selected","Renovation by owner",NA,NA,"Selected rMove when offered","Missing: Skip Logic",NA,"No","No","Selected","Not Selected","No",NA,47.52586,-122.3225,53033011200,53033011200,47.53481,-122.2848,"Yes",NA,"Displaced",1,0,1,NA,NA,NA,26.6205638324688,13.3102819162344,26.2167581330149,1,"$25,000-$49,999","Household age 35-64",NA,NA
