"","age","count","prop","prop_se","est","est_se"
"1","12-15 years",198,0.0452785531190415,0.00587981173284797,187844.032094998,24925.4604738944
"2","16-17 years",84,0.0234751568569497,0.00457471734970183,97389.7753861201,19220.1203418469
"3","18-24 years",306,0.0732178410786356,0.00738163433729605,303753.842428276,31743.3560843673
"4","25-34 years",1352,0.130993404120386,0.00864051470574378,543443.363641291,37559.3708222334
"5","35-44 years",1187,0.185683337969162,0.0103163430192866,770331.7463631,46361.6384712583
"6","45-54 years",832,0.135954609703246,0.00940755801479221,564025.577438773,41616.7951527062
"7","5-11 years",416,0.0924277155474012,0.0081187316858375,383448.532909324,35224.6578519347
"8","55-64 years",904,0.108454875099833,0.0080513886424511,449939.312008284,34779.5625621591
"9","65-74 years",880,0.108149611587825,0.00808227162833448,448672.886184198,34940.0016526262
"10","75-84 years",397,0.0376282598373756,0.00463229865429938,156105.784343149,19414.0473444551
"11","85 or years older",50,0.0022876377184974,0.00122289237203779,9490.56591727617,5077.29217629367
"12","Under 5 years old",298,0.0564489973616469,0.00630940060264252,234186.089035438,26832.2184806506
