"","count","prop","prop_se","est","est_se","var_1_value","var_1_name","var_2_value","var_2_name","geography","var_1_nice_name","var_2_nice_name","category_1","category_2"
"1",961,0.0121083578090168,0.00209276289299627,185223.034526589,32202.316088952,"$100,000 or more","hhincome_broad","Bike","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"2",22020,0.81007429810062,0.00685607784648045,12391805.8957969,269181.937696797,"$100,000 or more","hhincome_broad","Drive","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"3",765,0.0119398612915378,0.00226801587881684,182645.52263217,34931.4591697406,"$100,000 or more","hhincome_broad","Other","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"4",3914,0.0573013155274134,0.00381267187393836,876545.251780499,59282.5729349556,"$100,000 or more","hhincome_broad","Transit","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"5",7866,0.108574797689628,0.00524699457043768,1660881.99724387,83083.5826314245,"$100,000 or more","hhincome_broad","Walk","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"6",4,1.36958178437421e-06,6.85298981405363e-07,20.9506605383946,10.4751940599346,"$100,000 or more","hhincome_broad",NA,"mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"7",334,0.0103573114783653,0.00143480597080663,104367.099704693,14486.0250189882,"$100,000-$199,000","hhincome_broad","Bike","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"8",9476,0.834524002739102,0.00600649037798994,8409214.10751839,165339.588334751,"$100,000-$199,000","hhincome_broad","Drive","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"9",120,0.0063629404043506,0.00116906158473349,64117.1830144375,11798.7390124542,"$100,000-$199,000","hhincome_broad","Other","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"10",526,0.0286533860868855,0.00283879230976642,288730.411251381,28971.214381237,"$100,000-$199,000","hhincome_broad","Transit","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"11",2337,0.120102359291297,0.00517689068125571,1210230.56351126,54399.0283986508,"$100,000-$199,000","hhincome_broad","Walk","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"12",203,0.0123536992725068,0.00197343459309481,74252.7968975188,11881.4621238258,"$200,000 or more","hhincome_broad","Bike","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"13",5074,0.811834660675273,0.00824336154426479,4879590.54561434,128061.653362356,"$200,000 or more","hhincome_broad","Drive","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
"14",115,0.0237707264221358,0.00396699732001495,142875.658715235,24190.9387701985,"$200,000 or more","hhincome_broad","Other","mode_simple","regional","Household income 2020 broad categories, all respondents","Simplest mode categorization, does not separate SOV and HOV","Test1","Test2"
