"","n_ls.Count.of.unique.person_id","n_ls.wtd","summary.unwtd.survey_year","summary.unwtd.telecommute_status","summary.unwtd.count","summary.unwtd.prop","summary.wtd.survey_year","summary.wtd.telecommute_status","summary.wtd.count","summary.wtd.prop","summary.wtd.prop_se","summary.wtd.est","summary.wtd.est_se","summary.weight_name"
"1",25364,16257712.9257302,"2017","Hybrid",573,0.091989083319955,"2017","Hybrid",573,0.0766223892449064,0.00892252726310381,301628.087435025,36271.8928806912,"person_weight"
"2",25364,16257712.9257302,"2017","Not Worker",2366,0.379836249799326,"2017","Not Worker",2366,0.494051897178412,0.0178888949571316,1944861.42116061,101040.400703073,"person_weight"
"3",25364,16257712.9257302,"2017","Onsite",2943,0.472467490768984,"2017","Onsite",2943,0.399271666006469,0.0174310668698236,1571754.02870295,87106.9150479031,"person_weight"
"4",25364,16257712.9257302,"2017","Remote",347,0.0557071761117354,"2017","Remote",347,0.0300540475702129,0.00517678412650708,118309.347667427,20547.5548262406,"person_weight"
"5",25364,16257712.9257302,"2019","Hybrid",695,0.121694974610401,"2019","Hybrid",695,0.0924155532665742,0.0104020571850952,365756.288755621,43116.9598962679,"person_weight"
"6",25364,16257712.9257302,"2019","Not Worker",2126,0.372264051829802,"2019","Not Worker",2126,0.488487124702512,0.0180818889593362,1933302.69116852,101648.613392933,"person_weight"
"7",25364,16257712.9257302,"2019","Onsite",2619,0.458588688495885,"2019","Onsite",2619,0.392124820078363,0.0175514392963274,1551926.20561524,87670.5752877569,"person_weight"
"8",25364,16257712.9257302,"2019","Remote",271,0.0474522850639117,"2019","Remote",271,0.0269725019525511,0.00435803808076225,106750.020574589,17269.4573395646,"person_weight"
"9",25364,16257712.9257302,"2021","Hybrid",649,0.100123418697933,"2021","Hybrid",523,0.120207431208173,0.00746869647800512,506649.4789,33378.3624170222,"person_weight"
"10",25364,16257712.9257302,"2021","Not Worker",3910,0.603208886146251,"2021","Not Worker",2070,0.471296494663718,0.0114772218206753,1986417.3207,64229.2607546979,"person_weight"
"11",25364,16257712.9257302,"2021","Onsite",1119,0.172631903733416,"2021","Onsite",886,0.253500732569929,0.0102349929506787,1068453.196,49965.5330790609,"person_weight"
"12",25364,16257712.9257302,"2021","Remote",804,0.1240357914224,"2021","Remote",670,0.154995341558179,0.00832463672057945,653273.3313,37913.704900444,"person_weight"
"13",25364,16257712.9257302,"2023","Hybrid",1417,0.204119850187266,"2023","Hybrid",1414,0.135661874972608,0.00860301622540959,562811.128911834,37708.9188067385,"person_weight"
"14",25364,16257712.9257302,"2023","Not Worker",3053,0.439786804955344,"2023","Not Worker",3032,0.458331564413188,0.0133668450573043,1901448.769121,74596.0959649964,"person_weight"
"15",25364,16257712.9257302,"2023","Onsite",1672,0.240852780178623,"2023","Onsite",1660,0.340523617198663,0.0129571744732221,1412707.00744345,66902.3032987603,"person_weight"
"16",25364,16257712.9257302,"2023","Remote",800,0.115240564678767,"2023","Remote",798,0.065482943415541,0.00598619433131488,271664.602273938,25405.8724625267,"person_weight"
