"","survey_year","telecommute_status","count","prop","prop_se","est","est_se"
"1","2017","Fully At Home",347,0.0594014433547759,0.0101154119679552,118309.347667427,20537.2647321093
"2","2017","Fully In Person",2943,0.789155377359451,0.0189682868578949,1571754.02870295,86665.531229928
"3","2017","Hybrid",573,0.151443179285773,0.0169255834689272,301628.087435025,36233.3794762599
"4","2019","Fully At Home",271,0.0527308368080946,0.00848289127813217,106750.020574589,17259.4481273591
"5","2019","Fully In Person",2619,0.766598142520477,0.0203425858971913,1551926.20561524,87243.1164951501
"6","2019","Hybrid",695,0.180671020671428,0.0192330280030262,365756.288755621,43069.2913274394
"7","2021","Fully At Home",670,0.293161176337566,0.0144930291040189,653273.3313,37738.6128428892
"8","2021","Fully In Person",886,0.479476171448287,0.0160762492600435,1068453.196,49609.2666805892
"9","2021","Hybrid",523,0.227362652214147,0.0133022554736246,506649.4789,33258.9160346656
"10","2023","Fully At Home",798,0.12089119304986,0.0107998484410393,271664.602273938,25360.9943207871
"11","2023","Fully In Person",1660,0.628656932593385,0.0169626915541747,1412707.00744345,66437.2161780121
"12","2023","Hybrid",1414,0.250451874356755,0.0149824596299943,562811.128911834,37578.4780900034
