"","telecommute_status","home_county","total_vmt","total_trips","wrkers","weekly_vmt_per_worker"
"1","Fully At Home","King",1652140.52384404,434924.620791254,162410.815185859,50.8630081670782
"2","Fully At Home","Kitsap",154426.414273338,46023.9033937486,12551.9705904584,61.5148088343703
"3","Fully At Home","Pierce",369148.987872521,119747.072020321,43202.4457528264,42.7231585434455
"4","Fully At Home","Snohomish",525095.560795209,186305.351047783,53499.3707447944,49.07492868468
"5","Fully In Person","King",16893396.9872501,2779887.21820494,685098.479640133,123.291741912227
"6","Fully In Person","Kitsap",1996326.28657482,285865.366302966,100542.45902683,99.2777730869945
"7","Fully In Person","Pierce",11545793.6704697,1425800.97855726,338903.569366406,170.340396415049
"8","Fully In Person","Snohomish",7826729.34713055,1095394.13607342,288162.49941008,135.804092537254
"9","Hybrid","King",6280344.1767443,1322281.87027236,429631.111488387,73.0899603032363
"10","Hybrid","Kitsap",221095.438927254,32414.9061641396,11463.36868363,96.4356311958215
"11","Hybrid","Pierce",1201641.46195578,153714.235180225,57542.3221915345,104.413709439464
"12","Hybrid","Snohomish",1159243.52161587,162188.317696843,64174.3265482834,90.3198821061002
