"","survey_year","commute_freq_all","count","prop","prop_se","est","est_se"
"1","2017","Never or less than weekly",260,0.0911572250969817,0.0169436025493925,35775.5170360509,6676.18154072022
"2","2017","1-2 days",63,0.0462738032226255,0.0152243098812007,18160.5926875534,6093.33181035875
"3","2017","3-4 days",357,0.178202605177125,0.0323447505790722,69937.301520535,14297.1304038248
"4","2017","5+ days",1646,0.684366366503268,0.0357835249312926,268586.067398278,24895.4940710714
"5","2019","Never or less than weekly",235,0.0977079772524736,0.0171629017655504,38049.0400055176,6883.30416051025
"6","2019","1-2 days",114,0.0383116764767593,0.00715066101177894,14919.176017491,2702.38779012157
"7","2019","3-4 days",475,0.228549231120613,0.0292580027994862,89000.7047804108,13178.2542129966
"8","2019","5+ days",1558,0.635431115150154,0.031560731037034,247446.980287239,20730.1683120133
"9","2021","Never or less than weekly",292,0.469173331781283,0.0329970379322702,231880.1273,21531.7777701216
"10","2021","1-2 days",63,0.104295369978345,0.0204980907936166,51546.0322,10700.890148369
"11","2021","3-4 days",81,0.147405270524725,0.0239197014349699,72852.2927,12816.3129379737
"12","2021","5+ days",138,0.279126027715647,0.0305097351717689,137952.8086,17948.7453779894
"13","2023","Never or less than weekly",489,0.19999146711749,0.0211126736660401,78713.4819674251,9112.69573459929
"14","2023","1-2 days",296,0.17593932239027,0.0207185331252535,69246.9377815592,8921.38307743719
"15","2023","3-4 days",413,0.318024676361,0.0258170886190337,125169.488422382,12312.3367882429
"16","2023","5+ days",455,0.30604453413124,0.0256125599708123,120454.293704522,12126.9143183041
