"","survey_year","home_rgc_cat","telecommute_status","count","prop","prop_se","est","est_se"
"1","2017","Not RGC","Fully At Home",252,0.0583031337110482,0.0108890755259492,105211.949602549,20031.8901430419
"2","2017","Not RGC","Fully In Person",2042,0.787109929762187,0.0205801952438554,1420393.12453136,85196.3046973691
"3","2017","Not RGC","Hybrid",397,0.154586936526765,0.0184044784673252,278962.586396697,35725.9286147565
"4","2017","RGC","Fully At Home",95,0.0699932228592213,0.0236037327209591,13097.3980648783,4550.63981586704
"5","2017","RGC","Fully In Person",901,0.808881080454065,0.0372361777869328,151360.904171596,16870.0063920795
"6","2017","RGC","Hybrid",176,0.121125696686714,0.0309165289879875,22665.501038328,6120.42966203563
"7","2019","Not RGC","Fully At Home",196,0.0534422159936814,0.00926910140059979,96545.8247599142,16807.0637031688
"8","2019","Not RGC","Fully In Person",1763,0.769328632069224,0.0223511614143149,1389827.60938135,86053.3059133067
"9","2019","Not RGC","Hybrid",443,0.177229151937095,0.0211485418129473,320172.626211644,42251.445923568
"10","2019","RGC","Fully At Home",75,0.046832630480665,0.0176745837021322,10204.1958146749,3944.39120275084
"11","2019","RGC","Fully In Person",856,0.743959033786765,0.0368247912498119,162098.596233895,15486.1285057648
"12","2019","RGC","Hybrid",252,0.20920833573257,0.0344550896374148,45583.6625439767,8482.79450447227
"13","2021","Not RGC","Fully At Home",578,0.295296044709525,0.015458650847543,591655.4609,36418.2369681929
"14","2021","Not RGC","Fully In Person",792,0.481841370907181,0.0170228392705738,965417.8696,47152.8987857432
"15","2021","Not RGC","Hybrid",442,0.222862584383293,0.0140182230347341,446527.7048,31488.6455885262
"16","2021","RGC","Fully At Home",92,0.274131368600702,0.0404282768289032,61617.8704,10166.4646623688
"17","2021","RGC","Fully In Person",94,0.458393236522047,0.0489520767729697,103035.3264,15891.2643228834
"18","2021","RGC","Hybrid",81,0.267475394877251,0.0420504282107602,60121.7741,10891.655716356
"19","2023","Not RGC","Fully At Home",671,0.122843452688427,0.0114716634593271,258063.515051215,25235.7132605357
"20","2023","Not RGC","Fully In Person",1375,0.633747651690753,0.0177998644430005,1331346.05932625,65237.8831728794
"21","2023","Not RGC","Hybrid",1139,0.24340889562082,0.0156761984795272,511341.498663044,36802.4136380682
"22","2023","RGC","Fully At Home",127,0.0928835110086473,0.0189479278084234,13601.0872227234,2619.68694080918
"23","2023","RGC","Fully In Person",285,0.555624002432084,0.0509641479629149,81360.9481171948,13194.3854387684
"24","2023","RGC","Hybrid",275,0.351492486559269,0.0475256199729429,51469.6302487906,7851.94850433219
