"","telecommute_status","dest_purpose_simpler","count","prop","prop_se","est","est_se"
"1","Fully At Home","Errands, Shopping, School",898,0.331925911251351,0.0248615430306133,310307.731161805,28899.87828525
"2","Fully At Home","Go Home",1207,0.396702024170371,0.025426377090959,370865.005999444,30750.5123608067
"3","Fully At Home","Social, Recreation, Eat Meal",760,0.201443194939413,0.0195201019129196,188323.293424054,19921.5353131851
"4","Fully At Home","Work",97,0.069928869638865,0.0125993124703639,65374.4349109096,12156.2141195422
"5","Fully In Person","Errands, Shopping, School",1851,0.250356079936273,0.011698708833899,1552942.9576037,86050.6103914687
"6","Fully In Person","Go Home",3284,0.321832401307687,0.0112502555865907,1996306.06641021,80463.7100416577
"7","Fully In Person","Social, Recreation, Eat Meal",1586,0.145539742121349,0.00881633935212464,902773.831721357,58807.0980445281
"8","Fully In Person","Work",2926,0.28227177663469,0.0110124809566716,1750914.00922521,78481.3301942913
"9","Hybrid","Errands, Shopping, School",1357,0.241976777005511,0.0163969773737421,525748.840828837,42100.7011988848
"10","Hybrid","Go Home",2469,0.335183098507597,0.0160351432173867,728260.487169698,40425.048853069
"11","Hybrid","Social, Recreation, Eat Meal",1505,0.210267447553223,0.0143001866074482,456853.207911878,34681.1057639556
"12","Hybrid","Work",1301,0.212572676933669,0.0145239836888471,461861.835969547,35428.7296767923
