variable,table,description,data_type,logic
home_state,hh,Home location-- State,character,NA
home_county,hh,Home location-- County,character,NA
home_bg_2010,hh,Home location-- 2010 Block group,character,NA
home_bg_2020,hh,Home location-- 2020 Block group,character,NA
home_puma_2012,hh,Home location-- 2012 Public Use Microdata Area,character,NA
home_puma_2022,hh,Home location-- 2022 Public Use Microdata Area,character,NA
sample_home_bg,hh,Sample home location-- Block group,character,NA
prev_home_lat,hh,Previous home address latitude,numeric,"if prev_home_wa = ""no, previous home was in another state"""
prev_home_lng,hh,Previous home address longitude,numeric,"if prev_home_wa = ""no, previous home was in another state"""
survey_year,hh,Survey data collection year,numeric,NA
hhid,hh,Unique identifier for each household,character,NA
hhgroup,hh,Travel Diary (Part 2) participation group,integer/categorical,NA
sample_segment,hh,Sample segment,integer/categorical,NA
signup_platform,hh,Platform used by participant for part one (signup survey),character,NA
diary_platform,hh,Platform used by participant for part two (travel diary/preference survey),character,NA
hh_is_complete,hh,Household provided complete travel information for one travel day,integer/categorical,NA
num_days_complete_weekday,hh,Number of weekdays (Monday through Friday) on which the household was complete,numeric,NA
num_complete_tue,hh,Number of Tuesdays on which the household was complete,numeric,NA
num_complete_thu,hh,Number of Thursdays on which the household was complete,numeric,NA
num_days_complete_weekend,hh,Number of weekend days (Saturdays and Sundays) on which the household was complete,numeric,NA
hhsize,hh,Household size,integer/categorical,NA
num_surveyable,hh,Number of surveyable household members,integer/categorical,NA
num_trips,hh,"Household, person, or person-day number of trips",numeric,NA
num_participants,hh,"Number of survey participants in household (for rMove: over 17 and has a smartphone, not proxied, and is related to person 1; for online survey: ppersons over 17 and related to person 1)",numeric,NA
numadults,hh,Number of adults in household,integer/categorical,NA
numchildren,hh,Number of children in household,integer/categorical,NA
numworkers,hh,Number of workers in household,integer/categorical,NA
num_students,hh,Number of students in household,integer/categorical,NA
vehicle_count,hh,Number of vehicles,integer/categorical,NA
hhincome_detailed,hh,Last year's household income detailed categories,integer/categorical,NA
hhincome_followup,hh,Last year's household income broad follow-up categories,integer/categorical,if hhincome_detailed = prefer not to answer
hhincome_broad,hh,"Last year's household income broad categories, all respondents",integer/categorical,NA
rent_own,hh,Residence tenure status,integer/categorical,if age 18+ and rMove or (rMove for web and person 1)
home_in_region,hh,Home is in PSRC MPO area,integer/categorical,NA
reported_lng,hh,Reported home longitude,numeric,NA
reported_lat,hh,Reported home latitude,numeric,NA
sample_lng,hh,Sample home longitude,numeric,NA
sample_lat,hh,Sample home latitude,numeric,NA
res_type,hh,Type of residence,integer/categorical,if age 18+ and rMove or (rMove for web and person 1)
prev_home_notwa_state,hh,Previous home address state,integer/categorical,"if prev_home_wa = ""no, previous home was in another state"""
prev_home_notwa_zip,hh,Previous home address zip,character,"if prev_home_wa = ""no, previous home was in another state"""
prev_home_wa,hh,Previous home in State of Washington (WA),integer/categorical,if rMove or rMove for web and person 1 and residence_duration ≤ 5 years
numdayscomplete,hh,Household or person number of days complete,numeric,NA
prev_rent_own,hh,Previous home tenure status,integer/categorical,if rMove or rMove for web and person 1 and residence_duration ≥ 5 years
prev_res_factors_housing_cost,hh,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of an increase in rent or housing costs,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_income_change,hh,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of a change in income or finances,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_community_change,hh,"Important factor in decision to move away from prior residence -- Friends, family, or cultural community were leaving the area",integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_hh_size,hh,"Important factor in decision to move away from prior residence -- Changes in household size, establish own household",integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_more_space,hh,Important factor in decision to move away from prior residence -- Needed more space,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_less_space,hh,Important factor in decision to move away from prior residence -- Needed less space,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_employment,hh,"Important factor in decision to move away from prior residence -- Employment or commuting considerations (e.g., to take new job or shorten commute)",integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_amenities,hh,"Important factor in decision to move away from prior residence -- To have better access to recreation, restaurants, shops, and other amenities",integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_telework,hh,Important factor in decision to move away from prior residence -- Employer's telework policy removed need to live in previous residence,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_school,hh,Important factor in decision to move away from prior residence -- Access to a different K-12 school,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_crime,hh,Important factor in decision to move away from prior residence -- Concerns about safety or crime,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_quality,hh,Important factor in decision to move away from prior residence -- To upgrade to a better quality home or to stop renting and buy a home,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_forced,hh,"Important factor in decision to move away from prior residence -- Forced to move out (e.g., building demolished or renovated, asked to leave by landlord, foreclosure)",integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_other,hh,Important factor in decision to move away from prior residence -- Other,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_no_answer,hh,Important factor in decision to move away from prior residence -- Prefer not to answer,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
prev_res_factors_specify,hh,"Other factor in decision to move away from prior residence, write-in text",character,"if prev_res_factors_other = ""selected"" (selected ""other"" factor in decision to move)"
prev_res_type,hh,Previous home residence type,integer/categorical,"if prev_home_wa = ""yes, previous home was in Washington"""
res_dur,hh,How long lived in current residence,integer/categorical,if age 18+ and rMove or (rMove for web and person 1)
traveldate_start,hh,First travel date,date,NA
traveldate_end,hh,Last travel date,date,NA
survey_year,person,Survey data collection year,numeric,NA
hhid,person,Unique identifier for each household,character,NA
relationship,person,Relationship to primary respondent,integer/categorical,if num_people > 1
gender,person,Gender,integer/categorical,NA
race_afam,person,Race -- African American or Black,integer/categorical,if age 18+
race_aiak,person,Race -- American Indian or Alaska Native,integer/categorical,if age 18+
race_asian,person,Race -- Asian,integer/categorical,if age 18+
race_hapi,person,Race -- Native Hawaiian or Pacific Islander,integer/categorical,if age 18+
race_white,person,Race -- White,integer/categorical,if age 18+
race_other,person,Race -- Other,integer/categorical,if age 18+
