variable,hh,person,day,trip,vehicle,data_type,description,logic,added,view,csv
adult_student,0,1,0,0,0,integer/categorical,Student status (only inlcudes students age 18+),if age 18+,2023,view,csv
age,0,1,0,0,0,integer/categorical,Age,,2023,view,csv
age_detailed,0,1,0,0,0,integer/categorical,Age of person,,2025,view,csv
arrival_time_hour,0,0,0,1,0,numeric,Arrival time hour,,2023,view,csv
arrival_time_minute,0,0,0,1,0,numeric,Arrival time minute,,2023,view,csv
arrival_time_second,0,0,0,1,0,numeric,Arrival time second,,2023,view,csv
arrive_date,0,0,0,1,0,date,Date of arrival,,2023,view,csv
arrive_dow,0,0,0,1,0,integer/categorical,Arrival day of week,,2023,view,csv
attend_school_1,0,0,1,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to school","if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster (until 2023); if age <18 child with school_type NOT = ""cared for at home"" or ""home school"" and purpose NOT = ""attend school/class"" for a trip same travel day (2025)",2023,view,csv
attend_school_2,0,0,1,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to another location for school","if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster (until 2023); if age <18 child with school_type NOT = ""cared for at home"" or ""home school"" and purpose NOT = ""attend school/class"" for a trip same travel day (2025)",2023,view,csv
attend_school_3,0,0,1,0,0,integer/categorical,"Did child travel to school -- No, did not travel for school","if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster (until 2023); if age <18 child with school_type NOT = ""cared for at home"" or ""home school"" and purpose NOT = ""attend school/class"" for a trip same travel day (2025)",2023,view,csv
attend_school_998,0,0,1,0,0,integer/categorical,Did child travel to school -- Don't know,"if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster (until 2023); if age <18 child with school_type NOT = ""cared for at home"" or ""home school"" and purpose NOT = ""attend school/class"" for a trip same travel day (2025)",2023,view,csv
attend_school_999,0,0,1,0,0,integer/categorical,Did child travel to school -- Prefer not to answer,"if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster (until 2023); if age <18 child with school_type NOT = ""cared for at home"" or ""home school"" and purpose NOT = ""attend school/class"" for a trip same travel day (2025)",2023,view,csv
bike_freq,0,1,0,0,0,integer/categorical,How often the person has ridden a bike outside for 15 or more minutes in the past 30 days,if age ≥ 18 and bikes (share_2 = 1),2025,view,csv
broadband,1,0,0,0,0,integer/categorical,Broadband internet service at current residence,,2023,view,csv
can_drive,0,1,0,0,0,integer/categorical,"Answers yes to ""Do you/household person drive?""",If age ≥ 15,2025,view,csv
carshare_freq,0,1,0,0,0,integer/categorical,"How often the person has used carshare (e.g., Turo, ZipCar, Getaround, GIG) in the past 30 days",if age ≥ 18 and uses carshare (share_5 = 1),2025,view,csv
commute_freq,0,1,0,0,0,integer/categorical,How often commuted to workplace last week,"if workplace = fixed, varied, telecommutes some days (2017-2021); if employment = full/part/self/volunteer and job_type IS NOT ""work only from home"" or “drive/bike/travel for work” (2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" and work_from_home is not ""all of the time"" OR drive_for_work = ""yes"" (2025)",2023,view,csv
commute_subsidy_1,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) transit passes or fares,"If employed full/part/furloughed/volunteer (2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" and employment = full- or part-time (2025)",2023,view,csv
commute_subsidy_2,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) transit passes or fares,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_3,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) parking at work,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_4,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) parking at work,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_5,0,1,0,0,0,integer/categorical,"Commute benefits provided by employer -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_6,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Flextime (can adjust schedule as long as work the right number of total hours),If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_7,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Ability to work from home,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_996,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- None of the above,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_998,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Don't know,If employed full/part/furloughed/volunteer,2023,view,csv
commute_subsidy_transit,0,1,0,0,0,integer/categorical,"Worker offered transit pass through work (this is a calculated variable from commute_subsidy_1, commute_subsidy_2 and benefits_3 in 2017-2021)",,2023,view,csv
commute_subsidy_parking,0,1,0,0,0,integer/categorical,"Worker offered subsidized parking through work (this is a calculated variable from commute_subsidy_3, commute_subsidy_4 and workpass in 2017,2019)",,,,
commute_subsidy_use_1,0,1,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) transit passes or fares,"if employer offers free transit passes (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""free (fully subsidized) transit passes or fares"" (commute_subsidy_1 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_2,0,1,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) transit passes or fares,"if employer offers discounted transit passes (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""discounted (partially subsidized) transit passes or fares"" (commute_subsidy_2 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_3,0,1,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) parking at work,"if employer offers free parking at work (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""free (fully subsidized) parking at work"" (commute_subsidy_3 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_4,0,1,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) parking at work,"if employer offers discounted parking at work (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""dicounted (partially subsidized) parking at work"" (commute_subsidy_4 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_5,0,1,0,0,0,integer/categorical,"Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)","if employer offers a compressed work week (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""compressed work week (e.g., four 10-hour days, 9 days/80 hours)"" (commute_subsidy_5 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_6,0,1,0,0,0,integer/categorical,Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),"if employer offers flextime (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""flextime (can adjust schedule as long as work the right number of total hours)"" (commute_subsidy_6 = ""selected"") (2025)",2023,view,csv
commute_subsidy_use_7,0,1,0,0,0,integer/categorical,Commute benefit used -- Ability to work from home,"if employer offers ability to work from home (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""ability to work from home"" (commute_subsidy_7 = ""selected) (2025)",2023,view,csv
commute_subsidy_use_996,0,1,0,0,0,integer/categorical,Commute benefit used -- None of the above,"if employer offers any commute benefits (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") (2025)",2023,view,csv
copied_trip,0,0,0,1,0,integer/categorical,Trip was copied from another HH member,,2023,view,csv
d_bg,0,0,0,1,0,character,Trip destination census block group (derived by PSRC),,2025,view,csv
d_in_region,0,0,0,1,0,integer/categorical,Trip destination is in PSRC MPO area,,2023,view,csv
d_puma10,0,0,0,1,0,character,Trip destination PUMA (Public Use Microdata Area) 2010 (derived by PSRC),,2025,view,csv
day_id,0,0,1,1,0,numeric,Unique identifier for each person day,,2023,view,csv
day_weight,0,0,1,0,0,numeric,Person-day-level weight,,2023,view,csv
daynum,0,0,1,1,0,numeric,Diary day sequence,,2023,view,csv
deliver_elsewhere,0,0,1,0,0,integer/categorical,Deliveries and home services -- Packages delivered elsewhere,if rMove or (rMove for Web and person 1) (2025),2023,view,csv
deliver_food,0,0,1,0,0,integer/categorical,Deliveries and home services -- Food/meal prep delivered,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)",2023,view,csv
deliver_grocery,0,0,1,0,0,integer/categorical,Deliveries and home services -- Groceries delivered,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)",2023,view,csv
deliver_none,0,0,1,0,0,integer/categorical,Deliveries and home services -- None,if rMove or (rMove for Web and person 1) (2025),2023,view,csv
